"Name_val","Name_@footnote","Location_val","ContractDates_PriorYear_val","ContractDates_PriorYear_@footnote","ContractDates_CurrentYear_val","ContractDates_CurrentYear_@footnote","ContractDates_BudgetYearOne_val","ContractDates_BudgetYearOne_@footnote","ContractDates_BudgetYearTwo_val","ContractDates_BudgetYearThree_val","ContractDates_BudgetYearFour_val","ContractDates_BudgetYearFive_val","DeliveryDates_PriorYear_val","DeliveryDates_CurrentYear_val","DeliveryDates_BudgetYearOne_val","DeliveryDates_BudgetYearTwo_val","DeliveryDates_BudgetYearThree_val","DeliveryDates_BudgetYearFour_val","DeliveryDates_BudgetYearFive_val","AdminLeadTimeAfterOct1InMonths_val","ProductionLeadTimeAfterOct1InMonths_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"Chugaach Alaska Corp. - Blk I/ISNS Kits - (Full)","Chugaach Alaska Corporation is the manufacturer for the three kit types. The time from procurement to installation varies due to: 1) constantly shifting CVN availabilities, and 2) the need to bundle procurements of several kits and do 2-year rolling obsolescence upgrade ECPs for each bundle.","Chesapeake, VA","","","2015-10","","","","","","","","","2016-09","","","","","","1","11","0f3b5b23d44d4ecc35d109c2c574b63a84c12160-0-4137a18ad0a67d0f9b60655f20415ecea0d72666","0f3b5b23d44d4ecc35d109c2c574b63a84c12160","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","0f3b5b23d44d4ecc35d109c2c574b63a84c12160-0-07021733f69a3ed5275ff30f00d4ca93fd4e3727"
"Chugaach Alaska Corp. - Completion Kits","","Chesapeake, VA","","","","","2016-10","","","","","","","","2017-09","","","","","1","11","0f3b5b23d44d4ecc35d109c2c574b63a84c12160-1-4a7550a1bf237d3c4015ecb8fc50294ca3ee5c45","0f3b5b23d44d4ecc35d109c2c574b63a84c12160","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","0f3b5b23d44d4ecc35d109c2c574b63a84c12160-0-07021733f69a3ed5275ff30f00d4ca93fd4e3727"
"Chugaach Alaska Corp. - Block II Upgrade Kits","Installation costs include advanced planning costs for follow-on year installations as follows: Block I and Block I/ISNS (Full Kits) in FY16 and FY17; Block II (Upgrade Kits) in FY16, FY19 (planning costs only $1.627M), FY20 and FY21.","Chesapeake, Va","","","","","","","","2018-10","2019-10","2020-10","","","","","2019-09","2020-09","2021-09","1","11","0f3b5b23d44d4ecc35d109c2c574b63a84c12160-0-791f5419c5a649e40b49e43e2e3a295db76c8adb","0f3b5b23d44d4ecc35d109c2c574b63a84c12160","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","0f3b5b23d44d4ecc35d109c2c574b63a84c12160-1-6d6fbd73913c7c18e63bab97e5cc899aa80c2d49"
"General Atomics","In FY18 cost elements 1.1.5 and 1.1.6 will be procured and installed in the same year. Production Leadtime dates vary.","San Diego, CA","","","","","","","2017-12","2018-12","2019-12","2020-12","","","","2018-06","2019-12","2020-12","2021-12","3","12","0f3b5b23d44d4ecc35d109c2c574b63a84c12160-0-6f0e4b2b631de1f00e01714a9340303e336a5b99","0f3b5b23d44d4ecc35d109c2c574b63a84c12160","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","0f3b5b23d44d4ecc35d109c2c574b63a84c12160-0-0e9083e26182a7ee10a3b82b7f6b0b1a406d4760"
"L3","","Salt Lake City, UT","2015-06","","2016-06","","","","","","","","2017-03","2018-03","","","","","","8","21","0f3b5b23d44d4ecc35d109c2c574b63a84c12160-0-9f36dcf5a418179f7101b38b4779af2206a32936","0f3b5b23d44d4ecc35d109c2c574b63a84c12160","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","0f3b5b23d44d4ecc35d109c2c574b63a84c12160-0-3d732a67757ccb1cc7f5f0740eaeca828ac4729d"
"TBD (Competitive Procurement)","FY 2017 production lead time increased due to the risk associated with the possibility of a new contractor.","TBD (Competitive Procurement)","","","","","2017-03","","2018-03","2019-03","2020-03","2021-03","","","2019-04","2020-04","2021-04","2022-04","2023-04","5","25","0f3b5b23d44d4ecc35d109c2c574b63a84c12160-1-af124e46f3ccb19f8c72502f91de1cd79a85c599","0f3b5b23d44d4ecc35d109c2c574b63a84c12160","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","0f3b5b23d44d4ecc35d109c2c574b63a84c12160-0-3d732a67757ccb1cc7f5f0740eaeca828ac4729d"
"L3 Communications","","Greenville, TX","","","2015-11","","","","2017-11","","","","","2016-02","","2018-02","","","","1","3","110f67b87bd41b17eee3426b4ccfebe7687dc4bc-0-1651ea1720ac67924aefff7e3657d3bf7cd37789","110f67b87bd41b17eee3426b4ccfebe7687dc4bc","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","110f67b87bd41b17eee3426b4ccfebe7687dc4bc-0-65230898671b10a9ae089dbda1b1cad4f12566b3"
"L3 Communications","","Greenville, TX","","","2015-11","","2016-11","","","","","","","2016-02","2017-02","","","","","1","3","110f67b87bd41b17eee3426b4ccfebe7687dc4bc-0-b28a89151537e1200277647abd32299bbefa9d49","110f67b87bd41b17eee3426b4ccfebe7687dc4bc","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","110f67b87bd41b17eee3426b4ccfebe7687dc4bc-1-fd297ebefc5b8c93f7d8aebb0295a6ec45cf8f33"
"Sandia National Labs","","Albuquerque, NM","","","","","","","","","2020-02","2021-02","","","","","","2022-09","2023-09","4","31","13c303358d96b5d5ea8905f55f1067bdf4b5ff21-0-3f00a73141bb880859afdd339d3ddcc2b2358b29","13c303358d96b5d5ea8905f55f1067bdf4b5ff21","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","13c303358d96b5d5ea8905f55f1067bdf4b5ff21-0-76b6d42a561f5d333347b1b25f472ae82908f110"
"TBD - ADS-B Out","","TBD","","","2016-06","","2016-10","","2017-10","2018-10","","","","2016-07","2016-11","2017-11","2018-11","","","1","1","146dd9cae5842cf2c19c48202bb5bcc0efbab36a-0-1003b182eee6ea22c00001266e6611dc7836f2dd","146dd9cae5842cf2c19c48202bb5bcc0efbab36a","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","146dd9cae5842cf2c19c48202bb5bcc0efbab36a-0-1cc92e8bb31cf233583f18941ca7f2f65bf5a77f"
"A to C Conversion","","TBD","","","","","","","","","","","","","","","","","","6","6","146dd9cae5842cf2c19c48202bb5bcc0efbab36a-1-67ef3d9b53c3a84ffd672d3a65d9a2c4feeed9b9","146dd9cae5842cf2c19c48202bb5bcc0efbab36a","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","146dd9cae5842cf2c19c48202bb5bcc0efbab36a-0-1cc92e8bb31cf233583f18941ca7f2f65bf5a77f"
"Digital Engine Gauges","","New MFG - Loc","","","","","","","","","","","","","","","","","","0","0","146dd9cae5842cf2c19c48202bb5bcc0efbab36a-0-5e0ac6557ab8bece0646288cb5e403e8a9b05bef","146dd9cae5842cf2c19c48202bb5bcc0efbab36a","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","146dd9cae5842cf2c19c48202bb5bcc0efbab36a-1-862390df466f593ac1655b8b83fd440b7c3da495"
"tbd -A Kits -ADS-B out","","TBD","","","2016-06","","2016-10","","2017-10","2018-10","","","","2016-07","2016-11","2017-11","2018-11","","","0","1","146dd9cae5842cf2c19c48202bb5bcc0efbab36a-0-4a5adb4da810058966b5718b7fb992c3b764feb8","146dd9cae5842cf2c19c48202bb5bcc0efbab36a","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","146dd9cae5842cf2c19c48202bb5bcc0efbab36a-0-b9c23c3fb273f2c9513701b3e414f3b3a41fe7f6"
"Raytheon","","Marlborough, MA","","","","","2016-12","","","","","","","","2017-06","","","","","3","6","150b4f25b0de5e8ba90055e48c7c81e6966697b9-0-c0cae76bcd8481b9f0368e666e0dacf701e13ff0","150b4f25b0de5e8ba90055e48c7c81e6966697b9","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","150b4f25b0de5e8ba90055e48c7c81e6966697b9-0-d3d157268c17096ee498fdb8b2cdca2d25b3ef29"
"Raytheon","","Marlborough, MA","","","","","2016-12","","","","","","","","2017-12","","","","","3","12","150b4f25b0de5e8ba90055e48c7c81e6966697b9-0-10308d52b369730ffeb6342b4f057d9a80c0ac85","150b4f25b0de5e8ba90055e48c7c81e6966697b9","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","150b4f25b0de5e8ba90055e48c7c81e6966697b9-0-f9f10a30221f60f64dd3c6de6dd5ae91bbfa6758"
"TBD","","TBD","","","","","2016-11","","","","","","","","2017-07","","","","","2","8","150b4f25b0de5e8ba90055e48c7c81e6966697b9-0-1d610486cf1995ca77b7653e4b0f01ec104884fe","150b4f25b0de5e8ba90055e48c7c81e6966697b9","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","150b4f25b0de5e8ba90055e48c7c81e6966697b9-0-54ba1bac72f301ca0de8e3d654104f65d86fd24c"
"Raytheon","","Marlborough, MA","","","","","2017-03","","","","","","","","2018-03","","","","","6","12","150b4f25b0de5e8ba90055e48c7c81e6966697b9-0-7785ba23f12050e8c8152bce682701ee6c587b2a","150b4f25b0de5e8ba90055e48c7c81e6966697b9","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","150b4f25b0de5e8ba90055e48c7c81e6966697b9-0-9ea1ff6e598868ebe70f47585e212f3bb561e4c5"
"MOOG","","Salt Lake City, UT","","","","","","","","","","","","","","","","","","3","12","150b4f25b0de5e8ba90055e48c7c81e6966697b9-0-7979abffdb0231ca47eecdc5bf3f5894f123a058","150b4f25b0de5e8ba90055e48c7c81e6966697b9","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","150b4f25b0de5e8ba90055e48c7c81e6966697b9-0-7dae25535ce8271697828ddc748eeee5e68ae8a3"
"Raytheon","","Marlborough, MA","","","","","","","","","","","","","","","","","","6","12","150b4f25b0de5e8ba90055e48c7c81e6966697b9-1-4cd5dbd0a6e5c8c656377987c2306a3bdfbf681f","150b4f25b0de5e8ba90055e48c7c81e6966697b9","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","150b4f25b0de5e8ba90055e48c7c81e6966697b9-0-7dae25535ce8271697828ddc748eeee5e68ae8a3"
"Raytheon","","Marlborough, MA","","","","","","","","","","","","","","","","","","6","12","150b4f25b0de5e8ba90055e48c7c81e6966697b9-0-8733bface21b0d4218d2750ac474c758606ecd3e","150b4f25b0de5e8ba90055e48c7c81e6966697b9","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","150b4f25b0de5e8ba90055e48c7c81e6966697b9-0-117e8806cf3f9cf3bd8437eab3626426e23e656d"
"Raytheon","","Marlborough, MA","","","","","2017-03","","","","","","","","2018-03","","","","","6","12","150b4f25b0de5e8ba90055e48c7c81e6966697b9-0-e22f10bf951172c365211bdd01510ef264432e2b","150b4f25b0de5e8ba90055e48c7c81e6966697b9","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","150b4f25b0de5e8ba90055e48c7c81e6966697b9-0-b64140837276e262dc9f20ea3c65ac209c658550"
"Pen-Tech","","Charleston, SC","","","","","2017-03","","","","","","","","2018-03","","","","","6","12","150b4f25b0de5e8ba90055e48c7c81e6966697b9-0-95506a562622c1deaf93cbd0cb99e1b35085233e","150b4f25b0de5e8ba90055e48c7c81e6966697b9","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","150b4f25b0de5e8ba90055e48c7c81e6966697b9-0-91f828ebbc21727def71395ac690a9fa35e99477"
"Raytheon","","Marlborough, MA","","","","","2017-03","","","","","","","","2018-03","","","","","6","12","150b4f25b0de5e8ba90055e48c7c81e6966697b9-0-1e853498023dc8db83eb4fcd8de5a2d2f64084ea","150b4f25b0de5e8ba90055e48c7c81e6966697b9","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","150b4f25b0de5e8ba90055e48c7c81e6966697b9-0-eff19daa6245ee74d08d87d2e1c068a7ca6700a0"
"MOOG","","Salt Lake City, UT","","","","","2016-12","","","","","","","","2018-01","","","","","3","13","150b4f25b0de5e8ba90055e48c7c81e6966697b9-0-aac9f9a0a0e9a37558d6e429cb5d3fb31929b218","150b4f25b0de5e8ba90055e48c7c81e6966697b9","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","150b4f25b0de5e8ba90055e48c7c81e6966697b9-0-fb48b73f75cd99d3b58036360a49b6f41327d71e"
"TBD (Competitive Procurement)","","TBD (Competitive Procurement)","","","","","2016-12","","","","","","","","2018-01","","","","","3","13","150b4f25b0de5e8ba90055e48c7c81e6966697b9-0-00c6ce689d14cf2818a4b996800743117d60013b","150b4f25b0de5e8ba90055e48c7c81e6966697b9","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","150b4f25b0de5e8ba90055e48c7c81e6966697b9-0-9e1316620630e424c8d9037cdc80a08c9040bf86"
"TBD (Competitive Procurement)","","TBD (Competitive Procurement)","","","","","2016-12","","","","","","","","2018-01","","","","","3","13","150b4f25b0de5e8ba90055e48c7c81e6966697b9-0-16b7d79ce40e88d74a91640004ef66011c379174","150b4f25b0de5e8ba90055e48c7c81e6966697b9","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","150b4f25b0de5e8ba90055e48c7c81e6966697b9-0-909d5792d297531361afd871d9dbaa952b00a830"
"MOOG","","Salt Lake City, Utah","2014-12","","2015-12","","","","","","","","2016-01","2017-01","","","","","","3","13","151f3e8c9343ab21d80e1e779935f80045b5a18e-0-04539f6e2991331a55ad8fdb9182ea3d01928e05","151f3e8c9343ab21d80e1e779935f80045b5a18e","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","151f3e8c9343ab21d80e1e779935f80045b5a18e-0-ae9d9dc6a00fec3c08cf3eeeef5a59bfd2e6f927"
"MOOG","","Salt Lake City, UT","","","2015-12","","","","","","","","","2016-12","","","","","","3","12","151f3e8c9343ab21d80e1e779935f80045b5a18e-0-dd036f69d3ed45271b599d6d8cda3156645482f4","151f3e8c9343ab21d80e1e779935f80045b5a18e","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","151f3e8c9343ab21d80e1e779935f80045b5a18e-0-e84907cacd245bd37fdf7f0cfc2cbcf96a646213"
"TBD","","TBD","","","2015-12","","","","","","","","","2016-12","","","","","","3","12","151f3e8c9343ab21d80e1e779935f80045b5a18e-0-1ab77ebe3867e051fe41a56e7266149857008803","151f3e8c9343ab21d80e1e779935f80045b5a18e","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","151f3e8c9343ab21d80e1e779935f80045b5a18e-0-5caffef501d98f19b8d05661e30f594257ab7132"
"Boeing Guidance and Repair Center (BGRC)","","Heath, OH","2015-05","","2016-05","","2017-05","","2018-05","2019-05","2020-05","","2016-11","2017-11","2018-11","2019-11","2020-11","2021-11","","4","18","153a9f7c113f692c1b3663e4f207a0f9cb26d59a-0-7592209e447f7b3d9ebbd5a12609b7483defa0a6","153a9f7c113f692c1b3663e4f207a0f9cb26d59a","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","153a9f7c113f692c1b3663e4f207a0f9cb26d59a-0-35bce2c9601d9dba13fa9b928e7e25952a2f5c7b"
"BGRC","","Heath, OH","2015-05","","2016-05","","2017-05","","2018-05","2019-05","2020-05","","2016-11","2017-11","2018-11","2019-11","2020-11","2021-11","","4","18","153a9f7c113f692c1b3663e4f207a0f9cb26d59a-0-cf5e40d839fd4915ccd294b3a95b02a6c8c683ef","153a9f7c113f692c1b3663e4f207a0f9cb26d59a","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","153a9f7c113f692c1b3663e4f207a0f9cb26d59a-1-35ae8348d4a3d7a25a7ee28f887e5f1e37f7eae9"
"Boeing Company","","Seattle, WA","","","2016-06","","2017-06","","2018-06","2019-05","2020-06","2021-06","","2018-06","2019-06","2020-06","2021-05","2022-06","2023-06","6","24","153a9f7c113f692c1b3663e4f207a0f9cb26d59a-0-4274394a3cb3015095dd7e98c7f08b995d26ef23","153a9f7c113f692c1b3663e4f207a0f9cb26d59a","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","153a9f7c113f692c1b3663e4f207a0f9cb26d59a-0-e90b2abcf8b9e81827e0de4c5ee4004db8444352"
"Boeing Guidance and Repair Center (BGRC)","","Heath, OH","","","2016-04","","2017-04","","2018-04","2019-04","2020-04","2021-04","","2016-05","2017-05","2018-05","2019-05","2020-05","2021-05","6","1","153a9f7c113f692c1b3663e4f207a0f9cb26d59a-0-cefbfce8ed8b53547f48b3d2075e275acb9adc90","153a9f7c113f692c1b3663e4f207a0f9cb26d59a","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","153a9f7c113f692c1b3663e4f207a0f9cb26d59a-0-f3805f5d443ef332bf5bd8ed2a0bbee03a9f18d0"
"BGRC","","Heath, OH","","","2016-04","","2017-04","","2018-04","2019-04","2020-04","2021-04","","2016-05","2017-05","2018-05","2019-05","2020-05","2021-05","6","1","153a9f7c113f692c1b3663e4f207a0f9cb26d59a-0-762703563d7ccef138a8559bd51d880a6f817abd","153a9f7c113f692c1b3663e4f207a0f9cb26d59a","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","153a9f7c113f692c1b3663e4f207a0f9cb26d59a-1-2902df61a58ef75f202856dceff07929341d5260"
"KATO ENGINEERING","","MN","2014-12","","2016-07","","2016-11","","2018-03","","2020-01","2021-06","2015-12","2017-07","2017-11","2019-03","","2021-01","2022-06","0","12","1581d581b45be833988a3dd70c18bca86c4502d0-0-bab6a170e8164bc65d62b411b4d508871c5632c0","1581d581b45be833988a3dd70c18bca86c4502d0","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","1581d581b45be833988a3dd70c18bca86c4502d0-0-d6a5c6db3a565add54be60b509c8ac7b2de0d882"
"TBD","","TBD","","","","","","","2017-10","2018-10","2020-07","2021-05","","","","2019-10","2020-10","2022-07","2023-05","0","24","1581d581b45be833988a3dd70c18bca86c4502d0-0-b126a4dbe6559eb7c4585fa8b926b56939fe0105","1581d581b45be833988a3dd70c18bca86c4502d0","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","1581d581b45be833988a3dd70c18bca86c4502d0-0-edef8eacc357584b897078b68b7dcb6dd1cb383b"
"TBD","","TBD","","","","","2017-08","","2018-03","","","","","","2019-03","2019-10","","","","0","20","1581d581b45be833988a3dd70c18bca86c4502d0-0-6a7173d2689c10a2cad952d4f0b62ad215c7706c","1581d581b45be833988a3dd70c18bca86c4502d0","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","1581d581b45be833988a3dd70c18bca86c4502d0-0-c601ac2669691db2de69922a37ca268493e6f117"
"EMS Development","","TBD","","","2015-10","","","","","","","","","2016-07","","","","","","0","9","1581d581b45be833988a3dd70c18bca86c4502d0-0-ae659498f7570043ae973db45346051ee0bd5438","1581d581b45be833988a3dd70c18bca86c4502d0","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","1581d581b45be833988a3dd70c18bca86c4502d0-0-fb64917ef0b21c6913a9057706daa58f6648f10b"
"TBD","","TBD","","","","","","","","","2020-03","","","","","","","2022-03","","0","24","1581d581b45be833988a3dd70c18bca86c4502d0-0-5316c28c7c2dc4b54b636d6727bb0ab061102828","1581d581b45be833988a3dd70c18bca86c4502d0","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","1581d581b45be833988a3dd70c18bca86c4502d0-0-18de4a2fd67a8c5f91a3d7e508a373d3a79fbe82"
"x","","x","","","","","","","","","","","","","","","","","","","","16eb548697edd27074e7aaad2ca861f1c2ab6247-0-a9af7cb251c415b22e13e63f5f5e3641dc9be17c","16eb548697edd27074e7aaad2ca861f1c2ab6247","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","16eb548697edd27074e7aaad2ca861f1c2ab6247-0-9746d79ae2d259e28452698877a6dda0005c7b93"
"Various","","Various","","","","","","","","","","","","","","","","","","","","16eb548697edd27074e7aaad2ca861f1c2ab6247-0-808c03d9e5234d65ef803bb1269bdbc008939879","16eb548697edd27074e7aaad2ca861f1c2ab6247","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","16eb548697edd27074e7aaad2ca861f1c2ab6247-1-7842c1b5b6b475b248e91505bfa8e7d102ecd5c0"
"General Dynamics and Anniston Army Depot","","ANAD, AL and JSMC Lima, OH","","","2016-03","","2017-03","","2018-03","2019-03","2020-03","2021-03","","2017-09","2018-09","2019-09","2020-09","2021-09","2022-09","6","18","16eb548697edd27074e7aaad2ca861f1c2ab6247-0-91df6633678d46ffeb1e81f10d538ad9d89ef94f","16eb548697edd27074e7aaad2ca861f1c2ab6247","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","16eb548697edd27074e7aaad2ca861f1c2ab6247-2-42520cabd2b9d0689cd5f066d7008475dae9b539"
"Department of Energy","","Various","","","2016-04","","2017-04","","2018-04","2019-04","2020-04","2021-04","","2017-04","2018-04","2019-04","2020-04","2021-04","2022-04","7","12","16eb548697edd27074e7aaad2ca861f1c2ab6247-0-120ad265d0fb045f76c2acf847ba73e8f6a2d419","16eb548697edd27074e7aaad2ca861f1c2ab6247","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","16eb548697edd27074e7aaad2ca861f1c2ab6247-3-53874bd6c8a1ddee97b97f9ca53452fc2a25df12"
"x","","x","2014-10","","2015-10","","2016-10","","2017-10","2018-10","2019-10","2020-10","2014-11","2015-11","2016-11","2017-11","2018-11","2019-11","2020-11","1","1","16eb548697edd27074e7aaad2ca861f1c2ab6247-0-d50f3802255171c3ef15c009d1c0a1836a789fef","16eb548697edd27074e7aaad2ca861f1c2ab6247","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","16eb548697edd27074e7aaad2ca861f1c2ab6247-4-c07f791995652da99c61c2b63ce0c5f8d3812ff8"
"Honeywell and Allison Transmission","","Phoenix, AZ and Indianapolis, IN","2015-03","","2016-03","","2017-03","","2018-03","2019-03","2020-03","2021-03","2015-04","2016-04","2017-04","2018-04","2019-04","2020-04","2021-04","6","1","16eb548697edd27074e7aaad2ca861f1c2ab6247-0-c5d7d2849270162d1b275ea417b3721fb569bc82","16eb548697edd27074e7aaad2ca861f1c2ab6247","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","16eb548697edd27074e7aaad2ca861f1c2ab6247-5-caf63a1197c60e0255938cb0418d8bc73688e2f0"
"PEO Simulation, Training, and Instrumentation","","Orlando, FL","","","","","","","","","","","","","","","","","","","","16eb548697edd27074e7aaad2ca861f1c2ab6247-0-a3b220fffea1b1502dc3537a0e4493c548bb3523","16eb548697edd27074e7aaad2ca861f1c2ab6247","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","16eb548697edd27074e7aaad2ca861f1c2ab6247-6-b3a1f0bf8fae28d95bd93d462724efcc49c570db"
