"Name_@footnote","Name_val","Cost_TotalCost_AllPriorYears_val","Cost_TotalCost_PriorYear_val","Cost_TotalCost_CurrentYear_val","Cost_TotalCost_BudgetYearOneBase_val","Cost_TotalCost_BudgetYearOne_val","Cost_TotalCost_ToComplete_val","Cost_TotalCost_Total_val","Cost_TotalCost_BudgetYearTwo_val","Cost_TotalCost_BudgetYearThree_val","Cost_TotalCost_BudgetYearFour_val","Cost_TotalCost_BudgetYearOneOCO_val","Cost_TotalCost_Continuing_val","Cost_TotalCost_BudgetYearFive_val","Cost_Quantity_BudgetYearOneBase_val","Cost_Quantity_BudgetYearOne_val","Cost_Quantity_PriorYear_val","Cost_Quantity_AllPriorYears_val","Cost_Quantity_CurrentYear_val","Cost_Quantity_BudgetYearTwo_val","Cost_Quantity_BudgetYearThree_val","Cost_Quantity_BudgetYearFour_val","Cost_Quantity_BudgetYearFive_val","Cost_Quantity_ToComplete_val","Cost_Quantity_Total_val","Cost_Quantity_BudgetYearOneOCO_val","Cost_UnitCost_BudgetYearOneBase_val","Cost_UnitCost_BudgetYearOne_val","Cost_UnitCost_PriorYear_val","Cost_UnitCost_AllPriorYears_val","Cost_UnitCost_CurrentYear_val","Cost_UnitCost_BudgetYearTwo_val","Cost_UnitCost_BudgetYearThree_val","Cost_UnitCost_BudgetYearFour_val","Cost_UnitCost_BudgetYearFive_val","Cost_UnitCost_ToComplete_val","Cost_UnitCost_Total_val","Cost_UnitCost_BudgetYearOneOCO_val","Cost_AllPriorYears_TotalCost_val","Cost_AllPriorYears_UnitCost_val","Cost_AllPriorYears_Quantity_val","Cost_PriorYear_TotalCost_val","Cost_PriorYear_UnitCost_val","Cost_PriorYear_Quantity_val","Cost_CurrentYear_TotalCost_val","Cost_CurrentYear_UnitCost_val","Cost_CurrentYear_Quantity_val","Cost_BudgetYearOneBase_TotalCost_val","Cost_BudgetYearOneBase_UnitCost_val","Cost_BudgetYearOneBase_Quantity_val","Cost_BudgetYearOneOCO_TotalCost_val","Cost_BudgetYearOne_TotalCost_val","Cost_BudgetYearOne_UnitCost_val","Cost_BudgetYearOne_Quantity_val","Cost_ToComplete_TotalCost_val","Cost_ToComplete_UnitCost_val","Cost_ToComplete_Quantity_val","Cost_Total_TotalCost_val","Cost_Total_UnitCost_val","Cost_Total_Quantity_val","Cost_BudgetYearTwo_TotalCost_val","Cost_BudgetYearTwo_UnitCost_val","Cost_BudgetYearTwo_Quantity_val","Cost_BudgetYearThree_TotalCost_val","Cost_BudgetYearThree_UnitCost_val","Cost_BudgetYearThree_Quantity_val","Cost_BudgetYearFour_TotalCost_val","Cost_BudgetYearFour_UnitCost_val","Cost_BudgetYearFour_Quantity_val","Cost_BudgetYearFive_TotalCost_val","Cost_BudgetYearFive_UnitCost_val","Cost_BudgetYearFive_Quantity_val","ManufacturerList_Manufacturer","AllPriorYearsDeliveries_val","IdCode_val","Remarks_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"","1.2.2) Ancillary Equip","14.815","0","0","0","0","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2e1e6074e7f761005c59957a9b1c323d09359d95-1-533bcca05fe15cbc374c51bc83be7eda77ccc081","2e1e6074e7f761005c59957a9b1c323d09359d95","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","2e1e6074e7f761005c59957a9b1c323d09359d95-0-740819a310ed8af229ab69f66fb4a27ea26daebe"
"FY 2017 Non-Recurring Cost is required for production line tooling to accommodate the increased AH-1Z quantities.","1.2.1) Non-Recur Cost","123.843","0","0","6.428","6.428","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2e1e6074e7f761005c59957a9b1c323d09359d95-0-749cc433bc4e9c218e4d4902b647c4928c7f583b","2e1e6074e7f761005c59957a9b1c323d09359d95","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","2e1e6074e7f761005c59957a9b1c323d09359d95-0-93901e3a8db0705791a349e814a63cadec1caad7"
"","1.2.3) Ancillary Equip","186.989","0","0","0","0","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2e1e6074e7f761005c59957a9b1c323d09359d95-1-c31c8da39b983b930ebb131234cde90b45943e0a","2e1e6074e7f761005c59957a9b1c323d09359d95","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","2e1e6074e7f761005c59957a9b1c323d09359d95-0-93901e3a8db0705791a349e814a63cadec1caad7"
"","1.2.1) Radio Upgrade for Digital Communication","","","","2.55","2.55","","","","","","","","","100","100","","","","","","","","","","","25500","25500","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList-34016b661d774e05fd8e219ad23c6c45050602ae-0-0fb17112071bccbe16a62005b46b14d58783aab4","","","","34016b661d774e05fd8e219ad23c6c45050602ae-0-eab401d933da92df6600b31ef98396f9b52a57b9","34016b661d774e05fd8e219ad23c6c45050602ae","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","34016b661d774e05fd8e219ad23c6c45050602ae-0-729361ce13a23cf00f0701bfed12145f2f5fefe9"
"","Simulators","","","","1.039","1.039","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35f64eb5a2af075c277f46ad9a05b6dc91b6bee5-0-71ad1dfbefd7b7fa74dd891b31bad3db6cd731c0","35f64eb5a2af075c277f46ad9a05b6dc91b6bee5","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","35f64eb5a2af075c277f46ad9a05b6dc91b6bee5-0-895459523b1ee6ab6bbcb2e84ea936d73fd166bc"
"","Logistics Products","","3.812","11.305","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35f64eb5a2af075c277f46ad9a05b6dc91b6bee5-1-f4060e2a8ed8a6992f376b3bad5422c0b0cced40","35f64eb5a2af075c277f46ad9a05b6dc91b6bee5","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","35f64eb5a2af075c277f46ad9a05b6dc91b6bee5-0-895459523b1ee6ab6bbcb2e84ea936d73fd166bc"
"","1.2.1) Non-Recur Cost","0.196","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","463b8976bcaa046a908cff1661b452169de197bd-0-ab27efb19a4514abfd2cc251dc8c8ff47fdb74d8","463b8976bcaa046a908cff1661b452169de197bd","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","463b8976bcaa046a908cff1661b452169de197bd-0-6809cf228439a58aa7161aefaa3bec22897c43b0"
"","1.2.2) Ancillary Equip","1.954","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","463b8976bcaa046a908cff1661b452169de197bd-1-d447b2504a0a837202046c2b1fbe17b17a71f41a","463b8976bcaa046a908cff1661b452169de197bd","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","463b8976bcaa046a908cff1661b452169de197bd-0-6809cf228439a58aa7161aefaa3bec22897c43b0"
"Non-recurring Engineering is estimated for resolution of diminishing manufacturing sources and material shortages (DMSMS) and integration supporting technology refreshment on commercial off the shelf(COTS) based components.","1.2.1) Non-Recur Cost","","","74.214","34.94","34.94","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","48cc11bb8b24df6f1b5d3f3108254a6680ce8eb9-0-2ebb2939c15d58101a9749e9cf744e6500df3060","48cc11bb8b24df6f1b5d3f3108254a6680ce8eb9","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","48cc11bb8b24df6f1b5d3f3108254a6680ce8eb9-0-b133a0a4c10dbcb42a706019bc100a15de9d0c19"
"Note: Other includes Ground Control Stations.","1.2.3) Other","","","20.181","20.566","20.566","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","48cc11bb8b24df6f1b5d3f3108254a6680ce8eb9-1-e343221bc0ea4c112966cc591506ee231e5987ba","48cc11bb8b24df6f1b5d3f3108254a6680ce8eb9","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","48cc11bb8b24df6f1b5d3f3108254a6680ce8eb9-0-b133a0a4c10dbcb42a706019bc100a15de9d0c19"
"FY17 Non-recurring costs include engineering for diminishing manufacturing sources and material shortages specifically the Buss Interface Unit (BIU).  In FY17 LAIRCM, JABS, and Block Upgrade are added into the non-recurring line to cover engineering change proposals to the OEM.","1.2.1) Non-Recur Cost","54.076","1.99","4.059","13.957","13.957","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4f95c30a7a42b871c7d0d8f058ec4f041a03e1c0-0-6bab42fab574d9eb1d9a238edc7bc144bad1aa86","4f95c30a7a42b871c7d0d8f058ec4f041a03e1c0","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","4f95c30a7a42b871c7d0d8f058ec4f041a03e1c0-0-b1c690715ee45d4bd2875170e0ab22c79c27310c"
"","1.1.1) Increment I RRK/EoIP Enhancements","1.83","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50c43a216f6db44c01b2e00bcff0f1103c3d1da5-0-706055b78105e68fc68e1e43cdf29f419714dfbc","50c43a216f6db44c01b2e00bcff0f1103c3d1da5","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","50c43a216f6db44c01b2e00bcff0f1103c3d1da5-0-dede0e98e09d6d4ccbb6de94296d67fbfd3dace4"
"","1.2.1) Non-Recur Cost","1508.011","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5494f2c404acc06348006f1edbbd906ffaa866b5-0-f8bbd0f820c74d326a7300190182a3b2f95689c7","5494f2c404acc06348006f1edbbd906ffaa866b5","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","5494f2c404acc06348006f1edbbd906ffaa866b5-0-64cdc15b405bf7e6d819e109d40f92f0f416eaf6"
"Ancillary equipment such as: Joint Helmet Mounted Cueing System (JHMCS), Integrated Defensive Electronic Countermeasures (IDECM)/Radio Frequency Counter Measures (RFCM) ALQ-214 EFC, ALR-67, and External Fuel Tank.","1.2.2) Ancillary Equip","3382.193","","11.33","0","14.12","","","","","","14.12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5494f2c404acc06348006f1edbbd906ffaa866b5-1-fa20ff51eb898faa3ac972a8b91355f99adb58de","5494f2c404acc06348006f1edbbd906ffaa866b5","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","5494f2c404acc06348006f1edbbd906ffaa866b5-0-64cdc15b405bf7e6d819e109d40f92f0f416eaf6"
"The Ancillary Equipment grows yearly from FY 16 to FY 19 due to increasing quantities of Advanced Airborne Sensor (AAS) kits and Mechanisms.  Procurement profile for AAS kits and Mechanisms are as follows:  FY 15 2 AAS kits; FY 16 2 AAS Kits and 2 Mechanisms; FY 17 4 AAS Kits and 5 Mechanisms; FY 18 6 AAS kits and 7 Mechanisms; FY 19 16 AAS kits and 16 Mechanisms for a total procurement of 30 AAS kits and 30 Mechanisms.","1.2.1) Ancillary Equip","10.698","7.328","16.163","31.948","31.948","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5c53766253032ebe940da7fe2e9719bfbad8ca56-0-820069f3a2a6fc73ed06bf759ef9f0a993edcaad","5c53766253032ebe940da7fe2e9719bfbad8ca56","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","5c53766253032ebe940da7fe2e9719bfbad8ca56-0-6b8f662d429bc2c21f445c0d416c7cf16a93fd31"
"","1.2.2) Non-Recur Cost","190.753","55.481","56.3","57.133","57.133","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5c53766253032ebe940da7fe2e9719bfbad8ca56-1-746c251ceda4078cb33a6923b8a3edd6047d3fe0","5c53766253032ebe940da7fe2e9719bfbad8ca56","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","5c53766253032ebe940da7fe2e9719bfbad8ca56-0-6b8f662d429bc2c21f445c0d416c7cf16a93fd31"
"","1.2.1) Non-Recur Cost","236.914","20.409","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60945bf5649d090d2fe67e9903eccb9f460aa22d-0-145b5300ec4e4d44a9676c669b927c0f375195cb","60945bf5649d090d2fe67e9903eccb9f460aa22d","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","60945bf5649d090d2fe67e9903eccb9f460aa22d-0-de1aff455f8e9a801b92f8baeac10c5b33d97610"
"","1.2.2) Ancillary Equipment","728.577","6.447","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60945bf5649d090d2fe67e9903eccb9f460aa22d-1-dc5c92d3834c2615cde8b124134d475c91dfd6fa","60945bf5649d090d2fe67e9903eccb9f460aa22d","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","60945bf5649d090d2fe67e9903eccb9f460aa22d-0-de1aff455f8e9a801b92f8baeac10c5b33d97610"
"","PRODUCTION FACILITIZATION","28.131","","3.343","14.538","20.87","","","","","","6.332","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","68e77f1c635c6b7e6aa747d759aaa3de7fee8dd4-0-7e5607e0eaedf8df086be809178b670bf85992c6","68e77f1c635c6b7e6aa747d759aaa3de7fee8dd4","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","68e77f1c635c6b7e6aa747d759aaa3de7fee8dd4-0-fbb80262757838b872c420794dbcd0bd797d52af"
"","Non Recurring Engineering-Facilitization","","","2.25","","","0","2.25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6a09ede4f2deb21911da8c0694a83987a54d9b6a-0-bbaa24fa7029629075b2f938f548376c17e4cb21","6a09ede4f2deb21911da8c0694a83987a54d9b6a","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","6a09ede4f2deb21911da8c0694a83987a54d9b6a-0-c186775e7c88d11dbd2b0c9c0d77deb51306c17f"
"","Life of Type Buy (LOTB)","","","0.403","","","0","0.403","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6a09ede4f2deb21911da8c0694a83987a54d9b6a-1-273d497ba00b9e90216afb2e8320955cabe15f70","6a09ede4f2deb21911da8c0694a83987a54d9b6a","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","6a09ede4f2deb21911da8c0694a83987a54d9b6a-0-c186775e7c88d11dbd2b0c9c0d77deb51306c17f"
"","Initial Spares","232.226","","","","","0","232.226","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","772fcffab79cceda2c5148dacad9393667351ff7-0-2f8b575ef19dba98d36c216267b0a92d3c3915b1","772fcffab79cceda2c5148dacad9393667351ff7","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","772fcffab79cceda2c5148dacad9393667351ff7-0-b4221008121b8c19ee19c1a71ad8ad0258de821a"
"","5.1.1) GCCS-M Increment 2 Ashore Training Curriculum","0.527","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","79950755298d21e3a00f89cd28727b4726e2b396-0-3fd4d2f7eca5bb2fc5013ffe64ccbd5cc15de0bc","79950755298d21e3a00f89cd28727b4726e2b396","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","79950755298d21e3a00f89cd28727b4726e2b396-4-1b8295e18085b9fae407cda9a9731982ef358c96"
"","2.1.1) EM540 Technical Support","1.427","0","0","0","0","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","83986737112cf83d8b3a8f8951e4088143ac9007-0-93e49f5530c16332401f8a98d8e556bfb12583ef","83986737112cf83d8b3a8f8951e4088143ac9007","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","83986737112cf83d8b3a8f8951e4088143ac9007-1-fb6301b8d9fad7a8f93a30e89d3b323492366910"
"","4.1.1) FY06 and Prior Subsonic","594.445","0","0","0","0","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","83986737112cf83d8b3a8f8951e4088143ac9007-0-e68392df946a94302793b1abf80e91441bb33e5c","83986737112cf83d8b3a8f8951e4088143ac9007","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","83986737112cf83d8b3a8f8951e4088143ac9007-3-895c017478535733d43f12bffe781fe435855468"
"","5.1.1) Non Recurring Cost","245.008","0","0","0","0","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","83986737112cf83d8b3a8f8951e4088143ac9007-0-b3ddaa9a9d950004ef6168fc64bae8842d6766c2","83986737112cf83d8b3a8f8951e4088143ac9007","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","83986737112cf83d8b3a8f8951e4088143ac9007-4-e2f8bde731385e0b9adc6827912a0e5f181e5bc5"
"","2.1.1) FY06 and Prior","295.127","0","0","0","0","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","83986737112cf83d8b3a8f8951e4088143ac9007-0-19ab35ddff8a1722d63e1b12ee7d01a92a95a6df","83986737112cf83d8b3a8f8951e4088143ac9007","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","83986737112cf83d8b3a8f8951e4088143ac9007-1-5f3e2d77523d4d410841669f4d3f04dd1af1038b"
"","3.1.1) Prior year costs no longer financed beyond 1995","1992.884","0","0","0","0","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","83986737112cf83d8b3a8f8951e4088143ac9007-0-89dd6d03b8c364b150f66b3ec9755a47557c13b5","83986737112cf83d8b3a8f8951e4088143ac9007","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","83986737112cf83d8b3a8f8951e4088143ac9007-2-c441d5954ba5ca57d3a32d60021f095775b74ff6"
"","A-Kit NRE","98.596","12.946","10.759","3.815","3.815","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","87689c319860cb39ae8048202a86c5df39e4d7b9-0-d303649843186724392fb2c08b7c76455339c0ea","87689c319860cb39ae8048202a86c5df39e4d7b9","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","87689c319860cb39ae8048202a86c5df39e4d7b9-0-a347d6cb224c67956bdd8a67d5c59cd803908827"
"","1.2.1) Nonrecurring Engineering and Tooling","6.286","0.435","1.009","0.406","0.406","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","89324116e1dd6a07bb42ed9a17f331c62f88e9f7-0-8a04947f73c6331fa3ddee611420752fdec5d73a","89324116e1dd6a07bb42ed9a17f331c62f88e9f7","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","89324116e1dd6a07bb42ed9a17f331c62f88e9f7-0-f7ca1f411028874440163cb8d1789f22af2f50c1"
"","Joint Force Provider","0.162","0.374","0.2","","","","","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","89473ecb1ad405afcba29811a2b020d5ba792124-0-e12a252c6d9d0424a7ee2db7cc979dc8d9aaf7cf","89473ecb1ad405afcba29811a2b020d5ba792124","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","89473ecb1ad405afcba29811a2b020d5ba792124-3-fabde384d2abcebf78c2c934a1beeedca758bfd8"
"","GFEBS SA Fielding","","8.228","","","","","","","","","","","","","","1","","","","","","","","","","","","8228","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList-8c06c11f0e303a99bc3038bb9ed0312740d39b11-0-2fa188edf3c8f0351a09d1c9d15a9a136cb48ddb","","","","8c06c11f0e303a99bc3038bb9ed0312740d39b11-0-c22c85d8c9b4c55d69fd20682353c157cf8cb061","8c06c11f0e303a99bc3038bb9ed0312740d39b11","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","8c06c11f0e303a99bc3038bb9ed0312740d39b11-0-1b18dd1986872f697e1ba0beddbb446fffb668ad"
