"Name_val","Cost_TotalCost_AllPriorYears_val","Cost_TotalCost_PriorYear_val","Cost_TotalCost_CurrentYear_val","Cost_TotalCost_BudgetYearOneBase_val","Cost_TotalCost_BudgetYearOneOCO_val","Cost_TotalCost_BudgetYearOne_val","Cost_TotalCost_BudgetYearTwo_val","Cost_TotalCost_BudgetYearThree_val","Cost_TotalCost_BudgetYearFour_val","Cost_TotalCost_ToComplete_val","Cost_TotalCost_Total_val","Cost_TotalCost_BudgetYearFive_val","Cost_TotalCost_Continuing_val","Cost_Quantity_PriorYear_val","Cost_Quantity_CurrentYear_val","Cost_Quantity_BudgetYearOneBase_val","Cost_Quantity_BudgetYearOne_val","Cost_Quantity_BudgetYearTwo_val","Cost_Quantity_BudgetYearThree_val","Cost_Quantity_BudgetYearFour_val","Cost_Quantity_BudgetYearFive_val","Cost_Quantity_AllPriorYears_val","Cost_UnitCost_PriorYear_val","Cost_UnitCost_CurrentYear_val","Cost_UnitCost_BudgetYearOneBase_val","Cost_UnitCost_BudgetYearOne_val","Cost_UnitCost_BudgetYearTwo_val","Cost_UnitCost_BudgetYearThree_val","Cost_UnitCost_BudgetYearFour_val","Cost_UnitCost_BudgetYearFive_val","Cost_UnitCost_AllPriorYears_val","Cost_AllPriorYears_TotalCost_val","Cost_AllPriorYears_UnitCost_val","Cost_AllPriorYears_Quantity_val","Cost_PriorYear_TotalCost_val","Cost_PriorYear_UnitCost_val","Cost_PriorYear_Quantity_val","Cost_CurrentYear_TotalCost_val","Cost_CurrentYear_UnitCost_val","Cost_CurrentYear_Quantity_val","Cost_BudgetYearOneBase_TotalCost_val","Cost_BudgetYearOneBase_UnitCost_val","Cost_BudgetYearOneBase_Quantity_val","Cost_BudgetYearOne_TotalCost_val","Cost_BudgetYearOne_UnitCost_val","Cost_BudgetYearOne_Quantity_val","Cost_BudgetYearTwo_TotalCost_val","Cost_BudgetYearThree_TotalCost_val","Cost_BudgetYearFour_TotalCost_val","Cost_ToComplete_TotalCost_val","Cost_ToComplete_UnitCost_val","Cost_ToComplete_Quantity_val","Cost_Total_TotalCost_val","Cost_Total_Quantity_val","Cost_Total_UnitCost_val","Cost_BudgetYearOneOCO_TotalCost_val","Cost_BudgetYearOneOCO_UnitCost_val","Cost_BudgetYearOneOCO_Quantity_val","Cost_BudgetYearFive_TotalCost_val","ManufacturerList_Manufacturer","IdCode_val","AllPriorYearsDeliveries_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"Data","","","3.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","c70edab0ecd73295fdc4a9bc987c2fd361b92783-1-68ac2a91904fb8fc6a998ccfb090f4a158f54dd7","c70edab0ecd73295fdc4a9bc987c2fd361b92783","root.record.ItemExhibitList.P5Item","c70edab0ecd73295fdc4a9bc987c2fd361b92783-0-7ba6292d340466bc8acb616bfe7ad2b0932c583f"
"Data/Training/CLS/Support Equipment","","2.701","1.156","1.681","","1.681","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","cac3efb9ec52e730ecc0ad3ad050a5d0e7875648-0-610981f6f2dcb73c64292296bb43aacc3a381d2a","cac3efb9ec52e730ecc0ad3ad050a5d0e7875648","root.record.ItemExhibitList.P5Item","cac3efb9ec52e730ecc0ad3ad050a5d0e7875648-0-e4e41eb0e8b2c72f28fc7cb84fed84696bba8bf7"
"Fielding","","4.164","1.502","0.46","","0.46","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","cac3efb9ec52e730ecc0ad3ad050a5d0e7875648-1-5c9d5a91677c08ab470a1a35ba5ab239b103fcf7","cac3efb9ec52e730ecc0ad3ad050a5d0e7875648","root.record.ItemExhibitList.P5Item","cac3efb9ec52e730ecc0ad3ad050a5d0e7875648-0-e4e41eb0e8b2c72f28fc7cb84fed84696bba8bf7"
"Modification/Tech Insertion","","7.508","","0.032","","0.032","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","cac3efb9ec52e730ecc0ad3ad050a5d0e7875648-2-3eb3bf186a03d83d0d7d747b3796baacf2840512","cac3efb9ec52e730ecc0ad3ad050a5d0e7875648","root.record.ItemExhibitList.P5Item","cac3efb9ec52e730ecc0ad3ad050a5d0e7875648-0-e4e41eb0e8b2c72f28fc7cb84fed84696bba8bf7"
"DASR Site Activation","33.612","9.113","3.612","","","","","","","0.000","46.337","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","A","","f8d2aa24ccb05d9562b75b6264f94700b40d264e-0-cc8b425052eb5cb43280427c6badcde9dc78f6c5","f8d2aa24ccb05d9562b75b6264f94700b40d264e","root.record.ItemExhibitList.P5Item","f8d2aa24ccb05d9562b75b6264f94700b40d264e-0-aa4def1609e6f7401170f602c966b64011d64cfd"
"INTERIM SUPPLY SUPPORT MATERIAL (PARTS/SUPPLIES)","","4.652","8.18","8.118","","8.118","","","","","","","","1","1","1","1","","","","","","4.652","8.18","8.118","8.118","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","A","","f8f13986cf29e77a7f328010280ff728761bd870-0-c27261a8b5d8b20dd0c4b0f456396a35b8a4d267","f8f13986cf29e77a7f328010280ff728761bd870","root.record.ItemExhibitList.P5Item","f8f13986cf29e77a7f328010280ff728761bd870-0-98f4a0466098262cf851ac9ef9caa044396e4bd8"
"INTERIM SUPPLY SUPPORT SERVICES/LABOR","","1.011","1.478","0.000","","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","A","","f8f13986cf29e77a7f328010280ff728761bd870-1-521fb5530bbb49337d0403471fada85f8c57bb42","f8f13986cf29e77a7f328010280ff728761bd870","root.record.ItemExhibitList.P5Item","f8f13986cf29e77a7f328010280ff728761bd870-0-98f4a0466098262cf851ac9ef9caa044396e4bd8"
"Initial Spares & Repairs","","","2","2.5","","2.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50a9f2c47e3a913463b9804ae35cea45b6f8ca8a-0-ec8f55bcfafff33e0136bba454fcd5ff5b4c6ace","50a9f2c47e3a913463b9804ae35cea45b6f8ca8a","root.record.ItemExhibitList.P5Item","50a9f2c47e3a913463b9804ae35cea45b6f8ca8a-0-cedb236788725c59730052ed6ce24c6156284141"
"Data","","","3.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50a9f2c47e3a913463b9804ae35cea45b6f8ca8a-1-4a8a0d718273fa544d89ecf9c082df1843624469","50a9f2c47e3a913463b9804ae35cea45b6f8ca8a","root.record.ItemExhibitList.P5Item","50a9f2c47e3a913463b9804ae35cea45b6f8ca8a-0-cedb236788725c59730052ed6ce24c6156284141"
"INTERIM SUPPLY SUPPORT MATERIAL (PARTS/SUPPLIES)","4.652","8.18","2.981","9.402","","9.402","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","046be5f36f8a4db147ba138e8f14558a65b49467-0-0ae6004986808036b5bebc05b66894592ee40b47","046be5f36f8a4db147ba138e8f14558a65b49467","root.record.ItemExhibitList.P5Item","046be5f36f8a4db147ba138e8f14558a65b49467-0-05d634c6130ed3ce79495483205671da8a7ffc74"
"INTERIM SUPPLY SUPPORT SERVICES/LABOR","1.011","1.478","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","046be5f36f8a4db147ba138e8f14558a65b49467-1-963d307e1ad4f05341f15c9d14f1fdfa936f83bc","046be5f36f8a4db147ba138e8f14558a65b49467","root.record.ItemExhibitList.P5Item","046be5f36f8a4db147ba138e8f14558a65b49467-0-05d634c6130ed3ce79495483205671da8a7ffc74"
"Production Support","","0.093","0.083","0.084","","0.084","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1d11f176d5834e92de331c8af592d62ac4cdaad1-0-23cb72b75b5f496343ab0cc768674942200c3a01","1d11f176d5834e92de331c8af592d62ac4cdaad1","root.record.ItemExhibitList.P5Item","1d11f176d5834e92de331c8af592d62ac4cdaad1-0-c59bbe14bd1f6c0fcfb580ce414ced03d6d81c03"
"Government Support","","0.389","0.481","0.427","","0.427","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1d11f176d5834e92de331c8af592d62ac4cdaad1-1-f46c27f4a2506432ea8f42a8cbd14367943e20b3","1d11f176d5834e92de331c8af592d62ac4cdaad1","root.record.ItemExhibitList.P5Item","1d11f176d5834e92de331c8af592d62ac4cdaad1-0-c59bbe14bd1f6c0fcfb580ce414ced03d6d81c03"
"Support Equipment","6.892","7.09","0.379","0.05","","0.05","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1d11f176d5834e92de331c8af592d62ac4cdaad1-0-33bab78133a0a1aeae6e3adc787937f8c6d8fd64","1d11f176d5834e92de331c8af592d62ac4cdaad1","root.record.ItemExhibitList.P5Item","1d11f176d5834e92de331c8af592d62ac4cdaad1-1-1802ddb5dcb4330f51222f2c0f823667ecd71701"
"TSP Initial Spares","","","1.59","7.577","","7.577","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","416f64329689ce573ad1eae559939ac289ce630f-0-2dfb911918abef809484ca18e30a0a41908d4c5b","416f64329689ce573ad1eae559939ac289ce630f","root.record.ItemExhibitList.P5Item","416f64329689ce573ad1eae559939ac289ce630f-1-d3ab0f5d382c0a2b427a757925c51dd9c8995194"
"Interim Contrator Logistic Support","","","","2.2","","2.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","416f64329689ce573ad1eae559939ac289ce630f-1-cd9c12feb226a46a5d2a47dd108b478d672efa46","416f64329689ce573ad1eae559939ac289ce630f","root.record.ItemExhibitList.P5Item","416f64329689ce573ad1eae559939ac289ce630f-1-d3ab0f5d382c0a2b427a757925c51dd9c8995194"
"Initial Spares & Repairs","","2","7.7","","3.7","3.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6c0ed8f6404d812c30a6d3f23df7eea6f3a36d30-0-9b994c16863fa7b7aa5c153a8da781acbc7d0766","6c0ed8f6404d812c30a6d3f23df7eea6f3a36d30","root.record.ItemExhibitList.P5Item","6c0ed8f6404d812c30a6d3f23df7eea6f3a36d30-0-1138b7f165a643ca000ab39def453450fa53c6e2"
"Data","","0.5","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6c0ed8f6404d812c30a6d3f23df7eea6f3a36d30-1-0ec4ce47d6e0687a9b1d684ac5c5468043705fbb","6c0ed8f6404d812c30a6d3f23df7eea6f3a36d30","root.record.ItemExhibitList.P5Item","6c0ed8f6404d812c30a6d3f23df7eea6f3a36d30-0-1138b7f165a643ca000ab39def453450fa53c6e2"
"Data/Training/CLS/Support Equipment","2.701","1.156","","0.084","","0.084","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6fc6a8f7da0c9e6846711ef36b0f254df3ba8459-0-903fd541ed367d9236a5b705c192b41453757ba0","6fc6a8f7da0c9e6846711ef36b0f254df3ba8459","root.record.ItemExhibitList.P5Item","6fc6a8f7da0c9e6846711ef36b0f254df3ba8459-0-68cf9b0f2fabe83d41e1e483f24d8aa7f4ea484f"
"Technical Data","0","0.001","0","0","","0","","","","","0.001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","722c081212088856c4974dca70c9bcd5db7f2331-0-4971d64aa5ba39996675926b679bd81271209ed8","722c081212088856c4974dca70c9bcd5db7f2331","root.record.ItemExhibitList.P5Item","722c081212088856c4974dca70c9bcd5db7f2331-2-d3d1fc569413312dd51c9c8511b6f90398d380a4"
"Stockpile Systems (Nuclear Planning & Execution System)","0.949","0.684","0.261","0.267","","0.267","0.674","0.674","0.687","","","0.701","true","1","1","1","1","","","","","","0.684","0.261","0.267","0.267","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList-b427d52d5294471c9054019f47ab744c5d7b0a5a-0-3abfe420b22c6c448df08d1cfa2ac86273ba9cd4","","","b427d52d5294471c9054019f47ab744c5d7b0a5a-0-dbb147a6241500ec94a55354b22fc13dcb454690","b427d52d5294471c9054019f47ab744c5d7b0a5a","root.record.ItemExhibitList.P5Item","b427d52d5294471c9054019f47ab744c5d7b0a5a-0-dfe2bf3b6fd55cb587cff1e4fcb7477aada0bf6f"
"IA Situational Awarness/Command & Control","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","b427d52d5294471c9054019f47ab744c5d7b0a5a-1-a89dea0b1adf8f2fb0ee54fac3383b606e8ba9ef","b427d52d5294471c9054019f47ab744c5d7b0a5a","root.record.ItemExhibitList.P5Item","b427d52d5294471c9054019f47ab744c5d7b0a5a-0-dfe2bf3b6fd55cb587cff1e4fcb7477aada0bf6f"
"NACT Radionuclide Recapitalization","","1.934","1.982","1.857","","1.857","2.479","2.479","2.521","","","2.571","true","1","1","1","1","","","","","","1.934","1.982","1.857","1.857","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList-b427d52d5294471c9054019f47ab744c5d7b0a5a-2-cdd74aefb735751d49d1b123a307a8f6dc597619","","","b427d52d5294471c9054019f47ab744c5d7b0a5a-2-3e354e329d2b2ba82ef59337dc22ee58c3838cf5","b427d52d5294471c9054019f47ab744c5d7b0a5a","root.record.ItemExhibitList.P5Item","b427d52d5294471c9054019f47ab744c5d7b0a5a-0-dfe2bf3b6fd55cb587cff1e4fcb7477aada0bf6f"
"Nimble Elder Tactical/Communication Vehicles","1","0","0.5","0.509","","0.509","0.517","0.517","0.526","","","0.537","true","","1","1","1","","","","","","","0.5","0.509","0.509","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList-b427d52d5294471c9054019f47ab744c5d7b0a5a-0-bfd4c91450ce01e526c4b8d3fa72ae8c5ea97fe2","","","b427d52d5294471c9054019f47ab744c5d7b0a5a-0-482caf7b9c1390819cec2f859cf77bcaaf40e239","b427d52d5294471c9054019f47ab744c5d7b0a5a","root.record.ItemExhibitList.P5Item","b427d52d5294471c9054019f47ab744c5d7b0a5a-1-ae3a7b3934325df0d223f8b9d39a73e182a7dba8"
"Reachback Computational Servers/Data Storage","0.59","0.564","0.95","1.05","","1.05","1.069","1.088","1.106","","","1.128","true","1","1","1","1","","","","","","0.564","0.95","1.05","1.05","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList-b427d52d5294471c9054019f47ab744c5d7b0a5a-0-86c53cc2614cf3413f1dea3832c74c6bfca9fbff","","","b427d52d5294471c9054019f47ab744c5d7b0a5a-0-377a63e660fec5e9c1586727b0893167a884bd32","b427d52d5294471c9054019f47ab744c5d7b0a5a","root.record.ItemExhibitList.P5Item","b427d52d5294471c9054019f47ab744c5d7b0a5a-2-9936953b8099f6b7213c142e56c38c3d4019e326"
"Reachback Server, Metrological Data","0.123","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","0.123","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","b427d52d5294471c9054019f47ab744c5d7b0a5a-1-bf41448b931b641d55745fb3b70fd16a1598bf25","b427d52d5294471c9054019f47ab744c5d7b0a5a","root.record.ItemExhibitList.P5Item","b427d52d5294471c9054019f47ab744c5d7b0a5a-2-9936953b8099f6b7213c142e56c38c3d4019e326"
"Albquerque Physcial Plant Modernization","1.55","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","1.55","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","b427d52d5294471c9054019f47ab744c5d7b0a5a-2-3c4253a685114e41ea32351ac6f1d2ce868d30c9","b427d52d5294471c9054019f47ab744c5d7b0a5a","root.record.ItemExhibitList.P5Item","b427d52d5294471c9054019f47ab744c5d7b0a5a-2-9936953b8099f6b7213c142e56c38c3d4019e326"
"DTRA Storage Infrastructure Modernization (Site 1)","6.117","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","6.117","","","","","","","","","","","","","","","","","","","","","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList-b427d52d5294471c9054019f47ab744c5d7b0a5a-3-0fc420c91e71ba135b3a1394ee1367bcf68bf289","","","b427d52d5294471c9054019f47ab744c5d7b0a5a-3-2c72732f079d4ceb1cf5b7797252d13dcf153a02","b427d52d5294471c9054019f47ab744c5d7b0a5a","root.record.ItemExhibitList.P5Item","b427d52d5294471c9054019f47ab744c5d7b0a5a-2-9936953b8099f6b7213c142e56c38c3d4019e326"
"DTRA VOIP System (Inlcuding access layer software for Site1 and Site 2)","5.218","3.11","3.946","","","","","","","","","","","1","1","","","","","","","1","3.11","3.946","","","","","","","5.218","","","","","","","","","","","","","","","","","","","","","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList-b427d52d5294471c9054019f47ab744c5d7b0a5a-4-22f271c5809d4b4f138b8f709782ba3e94f6a15c","","","b427d52d5294471c9054019f47ab744c5d7b0a5a-4-46e4bdca652ea9d5933c833caf47ce844b3c3449","b427d52d5294471c9054019f47ab744c5d7b0a5a","root.record.ItemExhibitList.P5Item","b427d52d5294471c9054019f47ab744c5d7b0a5a-2-9936953b8099f6b7213c142e56c38c3d4019e326"
"Synchronus MetroCluster (Unclassified)","","3.35","","","","","","","","","","","","1","","","","","","","","","3.35","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList-b427d52d5294471c9054019f47ab744c5d7b0a5a-5-90bd849ea4a8eb1e7b853065715ef3c15b3f58c8","","","b427d52d5294471c9054019f47ab744c5d7b0a5a-5-dabce80da7b37a39114c91c28d3c6d82d3b013e1","b427d52d5294471c9054019f47ab744c5d7b0a5a","root.record.ItemExhibitList.P5Item","b427d52d5294471c9054019f47ab744c5d7b0a5a-2-9936953b8099f6b7213c142e56c38c3d4019e326"
"Reachback Server, Numerical Weather","0.05","0.196","","","","","","","","","","","","1","","","","","","","","1","0.196","","","","","","","","0.05","","","","","","","","","","","","","","","","","","","","","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList-b427d52d5294471c9054019f47ab744c5d7b0a5a-6-d4d7e4c7010762c7b8fbb9d8001ddbe5be0b2b6b","","","b427d52d5294471c9054019f47ab744c5d7b0a5a-6-496b7bad2f5c3b10fc56d7c896f34a825445b5d8","b427d52d5294471c9054019f47ab744c5d7b0a5a","root.record.ItemExhibitList.P5Item","b427d52d5294471c9054019f47ab744c5d7b0a5a-2-9936953b8099f6b7213c142e56c38c3d4019e326"
"Software Quality Assurance (SQA) Toolset","","0.222","","","","","","","","","","","","1","","","","","","","","","0.222","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList-b427d52d5294471c9054019f47ab744c5d7b0a5a-7-347ed199ee51591b67ad7d18a9775b2f04b2831d","","","b427d52d5294471c9054019f47ab744c5d7b0a5a-7-2caa7c27f8d0980c0ef6a99b9798909e7226425c","b427d52d5294471c9054019f47ab744c5d7b0a5a","root.record.ItemExhibitList.P5Item","b427d52d5294471c9054019f47ab744c5d7b0a5a-2-9936953b8099f6b7213c142e56c38c3d4019e326"
"Blue Coat (hardware Proxy Devices) (Red River Computer Company, Fort Belvoir VA)","0.503","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","b427d52d5294471c9054019f47ab744c5d7b0a5a-8-04672bdb6ff3cb6115834814fdf660b78d64ad34","b427d52d5294471c9054019f47ab744c5d7b0a5a","root.record.ItemExhibitList.P5Item","b427d52d5294471c9054019f47ab744c5d7b0a5a-2-9936953b8099f6b7213c142e56c38c3d4019e326"
"Virtual Server Farms Capability, Networks","","3.326","","1.791","","1.791","1.749","1.758","1.762","","","1.768","true","1","","1","1","","","","","","3.326","","1.791","1.791","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList-b427d52d5294471c9054019f47ab744c5d7b0a5a-9-6bc2b75d4e515df3eae4e6dcf1f7fc4e1d4a893f","","","b427d52d5294471c9054019f47ab744c5d7b0a5a-9-ae4cd79fdb48754e205278d3f00ae51c7d63a0de","b427d52d5294471c9054019f47ab744c5d7b0a5a","root.record.ItemExhibitList.P5Item","b427d52d5294471c9054019f47ab744c5d7b0a5a-2-9936953b8099f6b7213c142e56c38c3d4019e326"
"Network Telecom Equipment and Services (5th Signal Command Darmstadt, Germany)","0.15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","b427d52d5294471c9054019f47ab744c5d7b0a5a-10-b138b1afaa53ec512bed741156f7e0371d7e09c7","b427d52d5294471c9054019f47ab744c5d7b0a5a","root.record.ItemExhibitList.P5Item","b427d52d5294471c9054019f47ab744c5d7b0a5a-2-9936953b8099f6b7213c142e56c38c3d4019e326"
"Equipment Purchase Phase II","4.362","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","b427d52d5294471c9054019f47ab744c5d7b0a5a-11-68e5688b5e82a9e41763ee68193f54d19c7ffda9","b427d52d5294471c9054019f47ab744c5d7b0a5a","root.record.ItemExhibitList.P5Item","b427d52d5294471c9054019f47ab744c5d7b0a5a-2-9936953b8099f6b7213c142e56c38c3d4019e326"
"IT Installation Kleber Germany","1.629","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","b427d52d5294471c9054019f47ab744c5d7b0a5a-12-6c98f140897c57f5ea5443cb1e707c393c2e015b","b427d52d5294471c9054019f47ab744c5d7b0a5a","root.record.ItemExhibitList.P5Item","b427d52d5294471c9054019f47ab744c5d7b0a5a-2-9936953b8099f6b7213c142e56c38c3d4019e326"
"Virtual Desktop Infrastructure (VDI)","2.703","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","b427d52d5294471c9054019f47ab744c5d7b0a5a-13-9280cb861f2dbc8a356cba4b86eec4512c4aee82","b427d52d5294471c9054019f47ab744c5d7b0a5a","root.record.ItemExhibitList.P5Item","b427d52d5294471c9054019f47ab744c5d7b0a5a-2-9936953b8099f6b7213c142e56c38c3d4019e326"
"DTRA DMZ and Server Access Architecture Site 1 and 2","2.779","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","b427d52d5294471c9054019f47ab744c5d7b0a5a-14-3e11897797fe8352e1893e751f6e143e5e63b205","b427d52d5294471c9054019f47ab744c5d7b0a5a","root.record.ItemExhibitList.P5Item","b427d52d5294471c9054019f47ab744c5d7b0a5a-2-9936953b8099f6b7213c142e56c38c3d4019e326"
"WAN Acceleration and Deep Packet Inspection Infrastructure (Site 1 and Site 2)","4.471","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","b427d52d5294471c9054019f47ab744c5d7b0a5a-15-59d0aecc3aa288b9697ed48beda9b8ddb3c75105","b427d52d5294471c9054019f47ab744c5d7b0a5a","root.record.ItemExhibitList.P5Item","b427d52d5294471c9054019f47ab744c5d7b0a5a-2-9936953b8099f6b7213c142e56c38c3d4019e326"
"Reachback Analyst Workstations and Peripherals","0.213","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","0.213","","","","","","","","","","","","","","","","","","","","","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList-b427d52d5294471c9054019f47ab744c5d7b0a5a-16-6dcca7be35e1c74ee0a21059478c5d42e80f4898","","","b427d52d5294471c9054019f47ab744c5d7b0a5a-16-7a94ab84505fcfbe225dd0f465e2d178a84ccff6","b427d52d5294471c9054019f47ab744c5d7b0a5a","root.record.ItemExhibitList.P5Item","b427d52d5294471c9054019f47ab744c5d7b0a5a-2-9936953b8099f6b7213c142e56c38c3d4019e326"
"DTRA Server Infrastructure (Site 1 and Site 2)","2.538","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","2.538","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","b427d52d5294471c9054019f47ab744c5d7b0a5a-17-e11a30bdb0924075ff8f018237b6723a8c72fa45","b427d52d5294471c9054019f47ab744c5d7b0a5a","root.record.ItemExhibitList.P5Item","b427d52d5294471c9054019f47ab744c5d7b0a5a-2-9936953b8099f6b7213c142e56c38c3d4019e326"
"MicroStrategy Business Intelligence Software","1.176","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","1.176","","","","","","","","","","","","","","","","","","","","","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList-b427d52d5294471c9054019f47ab744c5d7b0a5a-18-eac6d26e4eeefd5861fec72df9d6a243bd688b46","","","b427d52d5294471c9054019f47ab744c5d7b0a5a-18-da02fd00cdcfb3bcaa7f517ff800e22d0036dd1c","b427d52d5294471c9054019f47ab744c5d7b0a5a","root.record.ItemExhibitList.P5Item","b427d52d5294471c9054019f47ab744c5d7b0a5a-2-9936953b8099f6b7213c142e56c38c3d4019e326"
"DASR Site Activation","42.725","3.612","0","0","","0","0","0","0","0","46.337","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","d17a56e6be017a4c8dcaaee2149f7f252b49f321-0-1eb2a6fe8f67ca003054dfb253d086e33c609690","d17a56e6be017a4c8dcaaee2149f7f252b49f321","root.record.ItemExhibitList.P5Item","d17a56e6be017a4c8dcaaee2149f7f252b49f321-0-5028a9942dbdbd7d5100a5babcc5bb125338c70a"
"INTERIM SUPPLY SPT SERVICES/LABOR:","1.849","5.61","2.775","2.587","0","2.587","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","e4b2d5ba2abeeea042a40efc2557e02325d0c5d4-0-278b36d24d74758ec7a15e874307662b3cf20420","e4b2d5ba2abeeea042a40efc2557e02325d0c5d4","root.record.ItemExhibitList.P5Item","e4b2d5ba2abeeea042a40efc2557e02325d0c5d4-0-2a61c9675fe8e0825bd6130d59f1b00c10b1352f"
