"ProgramElementNumber_val","ProgramElementFunding_Quantity_AllPriorYears_val","ProgramElementFunding_Quantity_Total_val","ProgramElementFunding_Quantity_PriorYear_val","ProgramElementFunding_Quantity_CurrentYear_val","ProgramElementFunding_Quantity_BudgetYearOneBase_val","ProgramElementFunding_Quantity_BudgetYearOne_val","ProgramElementFunding_Quantity_BudgetYearTwo_val","ProgramElementFunding_Quantity_BudgetYearThree_val","ProgramElementFunding_Quantity_BudgetYearFour_val","ProgramElementFunding_Quantity_BudgetYearFive_val","ProgramElementFunding_Quantity_ToComplete_val","ProgramElementFunding_TotalCost_AllPriorYears_val","ProgramElementFunding_TotalCost_PriorYear_val","ProgramElementFunding_TotalCost_CurrentYear_val","ProgramElementFunding_TotalCost_BudgetYearOneBase_val","ProgramElementFunding_TotalCost_BudgetYearOne_val","ProgramElementFunding_TotalCost_BudgetYearTwo_val","ProgramElementFunding_TotalCost_BudgetYearThree_val","ProgramElementFunding_TotalCost_Total_val","ProgramElementFunding_TotalCost_BudgetYearFour_val","ProgramElementFunding_TotalCost_BudgetYearFive_val","ProgramElementFunding_TotalCost_ToComplete_val","ProgramElementFunding_TotalCost_BudgetYearOneOCO_val","ProgramElementFunding_AllPriorYears_Quantity_val","ProgramElementFunding_AllPriorYears_TotalCost_val","ProgramElementFunding_PriorYear_Quantity_val","ProgramElementFunding_PriorYear_TotalCost_val","ProgramElementFunding_CurrentYear_Quantity_val","ProgramElementFunding_CurrentYear_TotalCost_val","ProgramElementFunding_BudgetYearOneBase_Quantity_val","ProgramElementFunding_BudgetYearOneBase_TotalCost_val","ProgramElementFunding_BudgetYearOneOCO_Quantity_val","ProgramElementFunding_BudgetYearOneOCO_TotalCost_val","ProgramElementFunding_BudgetYearOne_Quantity_val","ProgramElementFunding_BudgetYearOne_TotalCost_val","ProgramElementFunding_BudgetYearTwo_Quantity_val","ProgramElementFunding_BudgetYearTwo_TotalCost_val","ProgramElementFunding_BudgetYearThree_Quantity_val","ProgramElementFunding_BudgetYearThree_TotalCost_val","ProgramElementFunding_BudgetYearFour_Quantity_val","ProgramElementFunding_BudgetYearFour_TotalCost_val","ProgramElementFunding_BudgetYearFive_Quantity_val","ProgramElementFunding_BudgetYearFive_TotalCost_val","ProgramElementFunding_ToComplete_Quantity_val","ProgramElementFunding_ToComplete_TotalCost_val","ProgramElementFunding_Total_Quantity_val","ProgramElementFunding_Total_TotalCost_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"0401130F","","","","","","","","","","","","","","","","","","","","","","","","0","283.938","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","283.938","1b51331fa8cfd17504ac0810da6ec4ab9ae45834-0-a924686354fbefaed01f72933c420171efc1e12d","1b51331fa8cfd17504ac0810da6ec4ab9ae45834","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","1b51331fa8cfd17504ac0810da6ec4ab9ae45834-0-28b9e5b21e2196af24149491dcbb3a7e026d2600"
"0401130F","","","","","","","","","","","","","","","","","","","","","","","","0","12.257","0","4.996","0","7.658","0","2.5","0","0.000","0","2.5","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","27.411","1b51331fa8cfd17504ac0810da6ec4ab9ae45834-0-9214874b77f08854a1cf881551a79c93ff0dae21","1b51331fa8cfd17504ac0810da6ec4ab9ae45834","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","1b51331fa8cfd17504ac0810da6ec4ab9ae45834-0-28613d58c401987b44ad59457fb51d4196a88444"
"0207224F","","","","","","","","","","","","","","","","","","","","","","","","0","0.000","1","0.912","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","1","0.912","21b292cf6c6abee07374aa359f4f727f23b5accd-0-9804fd6ed92bb8ba347205aac872e9ddcf4d0e06","21b292cf6c6abee07374aa359f4f727f23b5accd","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","21b292cf6c6abee07374aa359f4f727f23b5accd-0-8db25c26717b68c7b15be22e4183136f2eed378f"
"0401318F","","","","","","","","","","","","","","","","","","","","","","","","0","37.65","0","11.487","0","7.763","0","14.132","0","0.000","0","14.132","0","17.598","0","11.725","0","10.53","0","5.676","0","0.000","0","116.561","243848b289cde74724b57b7a20a2699c5b50464b-0-16a9031246c63c798487a97d9b8ccf91da8a38a4","243848b289cde74724b57b7a20a2699c5b50464b","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","243848b289cde74724b57b7a20a2699c5b50464b-0-bf2068745933cd97a590bbdf0bae7944482a223b"
"0207417F","","","","","","","","","","","","","","","","","","","","","","","","0","120.065","0","102.061","0","12.266","0","5.734","0","0.000","0","5.734","0","13.935","0","0.000","0","0.000","0","0.000","0","0.000","0","254.061","3ce282e558f99cd96fb2d79f9ab53ea718c88100-0-1270177c136dff415740cf551d02e046da4e1943","3ce282e558f99cd96fb2d79f9ab53ea718c88100","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","3ce282e558f99cd96fb2d79f9ab53ea718c88100-0-696d151c130b2ace2316441ec256a3d970bc2e97"
"0207417F","","","","","","","","","","","","","","","","","","","","","","","","0","39.148","0","10.737","0","23.804","0","8.038","0","0.000","0","8.038","0","20","0","9.292","0","0.000","0","0.000","0","0.000","0","111.019","3ce282e558f99cd96fb2d79f9ab53ea718c88100-0-abb1ca9199159b6bfb8bb82882791a73d1d76197","3ce282e558f99cd96fb2d79f9ab53ea718c88100","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","3ce282e558f99cd96fb2d79f9ab53ea718c88100-0-b9f87a4f24e25f7be48d27fc9f5956431a9181ad"
"0303131F","","","","","","","","","","","","","","","","","","","","","","","","7","92.438","0","22.016","0","10.465","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","7","124.919","4a50bcc3d4d4cf4d2aac2801f050c14f17c5a6ef-0-73a5f80de462ebfe290e3f8b7b6376ce865b12a0","4a50bcc3d4d4cf4d2aac2801f050c14f17c5a6ef","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","4a50bcc3d4d4cf4d2aac2801f050c14f17c5a6ef-0-16b2ae5ad099f8c21227f2adc5e7c67c92e225c7"
"1160403BB","","","","","","","","","","","","","","","","","","","","","","","","","69.4","","39.5","","20.3","","27.9","","","","27.9","","12.2","","","","","","","","0.000","","169.3","4e9e6d15e0844c4ff1ee06c60489171ee9bf916a-0-0ddd8e82005f44e33dcded72153cd9265d5c52d7","4e9e6d15e0844c4ff1ee06c60489171ee9bf916a","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","4e9e6d15e0844c4ff1ee06c60489171ee9bf916a-0-f5fe2d8c956594ac06ee49cd9f411e483f219fab"
"0401119F","","","","","","","","","","","","","","","","","","","","","","","","0","9.906","0","19.37","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","29.276","54eee1c6eda620239068af390dbe5bb5a9842adb-0-00a4bf0ddd662a82754c940c89a29a2ae6d5ee2a","54eee1c6eda620239068af390dbe5bb5a9842adb","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","54eee1c6eda620239068af390dbe5bb5a9842adb-0-2551c77e71eed1a62b12a6674e7ddec9d3e5f3f7"
"1160482BB","","","","","","","","","","","","","","","","","","","","","","","","","89.7","","15","","22.8","","","","","","","","1.2","","5.8","","2.9","","","","0.000","","137.4","63f444f5b0f101930124e6cf811c37aa82f9ea66-0-dac0cd263c610845efacc11fbdbfa53fc7abee72","63f444f5b0f101930124e6cf811c37aa82f9ea66","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","63f444f5b0f101930124e6cf811c37aa82f9ea66-0-b1c3a1e3e45bdbb9889a58c1005d9b3fb05c27e2"
"0305230F","","","","","","","","","","","","","","","","","","","","","","","","0","0.000","0","0.000","0","0.000","0","19.949","0","0.000","0","19.949","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","19.949","81fec39e367b83589f17cef5412d90681667d36f-0-96b5c543200073491a8d8d3c504ca9c199c2bccc","81fec39e367b83589f17cef5412d90681667d36f","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","81fec39e367b83589f17cef5412d90681667d36f-0-644054f5d4c0bd17248545f389e133bf57f1cc66"
"0207131F","","","","","","","","","","","","","","","","","","","","","","","","0","5.695","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","5.695","886c521259be0c6263239663ae807ea8a19b93ff-0-0d42ac167d1732c9d33b91763112983a727e339b","886c521259be0c6263239663ae807ea8a19b93ff","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","886c521259be0c6263239663ae807ea8a19b93ff-0-f5ded7cc8830dd6ec771344ff8179e60b20d5bd2"
"0207423F","","","","","","","","","","","","","","","","","","","","","","","","0","44.872","0","38.881","0","43.964","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","127.717","8f9993f845d52dd295769d91ecf2500389b6cdf6-0-7580eba543ef2e177ce05ced2c3afb2ce3944441","8f9993f845d52dd295769d91ecf2500389b6cdf6","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","8f9993f845d52dd295769d91ecf2500389b6cdf6-0-3813a4f22ff85ea00c89d042df0e308f505b1ca2"
"0101113F","","","","","","","","","","","","","","","","","","","","","","","","0","9.325","0","5.996","0","6.218","0","0.751","0","0.000","0","0.751","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","22.29","952c00e1a7ea62010c6ceb4b37b5f8a561762f78-0-c0f2754ef0b87e2844fdaf1d1c2cc0e5c8e7c216","952c00e1a7ea62010c6ceb4b37b5f8a561762f78","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","952c00e1a7ea62010c6ceb4b37b5f8a561762f78-0-83eb4335f0aed17f9c600732c312e6a1ecab2754"
"0207134F","","","","","","","","","","","","","","","","","","","","","","","","0","249.147","0","76.462","0","33.353","0","1.351","0","0.000","0","1.351","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","360.313","97092ba11b429a6f7046ccc267083d82ef7c2035-0-86046c155eb76b5f6b464dd8df80caa40eedc812","97092ba11b429a6f7046ccc267083d82ef7c2035","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","97092ba11b429a6f7046ccc267083d82ef7c2035-0-f13e160fd7270585d784edf1a8c9bb1d6f6d33ea"
"0207130F","","","","","","","","","","","","","","","","","","","","","","","","0","65.272","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","65.272","97092ba11b429a6f7046ccc267083d82ef7c2035-0-905055ce1a0e1745ac9e9a613e27387e78918c90","97092ba11b429a6f7046ccc267083d82ef7c2035","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","97092ba11b429a6f7046ccc267083d82ef7c2035-0-cbc70ca25bd3e547e720819e0f70299a978c6c3e"
"0207130F","","","","","","","","","","","","","","","","","","","","","","","","0","0.000","0","0.000","0","6.55","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","6.55","97092ba11b429a6f7046ccc267083d82ef7c2035-0-3f0df382aa04e892230e12d0ccc87d8c22189933","97092ba11b429a6f7046ccc267083d82ef7c2035","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","97092ba11b429a6f7046ccc267083d82ef7c2035-0-4bf79c4cacdfd4c5674107bf5e17f256316ff0df"
"0101126F","","","","","","","","","","","","","","","","","","","","","","","","0","0.000","0","4.574","0","0.947","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","5.521","9d0635e6b065ec52f615adb4acd6b2f1a2460f79-0-4293da68d7a762a14e3b451cde28472ba26a799f","9d0635e6b065ec52f615adb4acd6b2f1a2460f79","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","9d0635e6b065ec52f615adb4acd6b2f1a2460f79-0-70c168b78c9f5d56b23dec7ad266d4030deb09f7"
"0101126F","","","","","","","","","","","","","","","","","","","","","","","","0","0.000","0","0.381","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.381","9d0635e6b065ec52f615adb4acd6b2f1a2460f79-0-8ed09dac3724d934d2034f972da17f537b2c729e","9d0635e6b065ec52f615adb4acd6b2f1a2460f79","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","9d0635e6b065ec52f615adb4acd6b2f1a2460f79-0-9a666fcc9247dc31167b5ceddbd45c28fb6e60b1"
"0101126F","","","","","","","","","","","","","","","","","","","","","","","","0","0.000","0","1.862","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","1.862","9d0635e6b065ec52f615adb4acd6b2f1a2460f79-0-4802b20ebc01bd5b9ac8744e38f274b722c48689","9d0635e6b065ec52f615adb4acd6b2f1a2460f79","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","9d0635e6b065ec52f615adb4acd6b2f1a2460f79-0-062f220a2846f06a04ffbb4c1b0061507d7e575e"
"0101126F","","","","","","","","","","","","","","","","","","","","","","","","0","34.303","0","5.029","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","39.332","9d0635e6b065ec52f615adb4acd6b2f1a2460f79-0-4857519746f330b698b61798d1adb39f56018a12","9d0635e6b065ec52f615adb4acd6b2f1a2460f79","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","9d0635e6b065ec52f615adb4acd6b2f1a2460f79-0-9ce12a0bcb8bb3a298c0873af96e14addb612ec1"
"0101126F","","","","","","","","","","","","","","","","","","","","","","","","0","0.000","0","8.725","0","23.752","0","2.776","0","0.000","0","2.776","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","35.253","9d0635e6b065ec52f615adb4acd6b2f1a2460f79-0-c91597e6bc6bca800d728a32e4652291c4365a08","9d0635e6b065ec52f615adb4acd6b2f1a2460f79","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","9d0635e6b065ec52f615adb4acd6b2f1a2460f79-0-14fdb2cea2d07b2acbd5fb3dd032fcb130af933f"
"1160429BB","","","","","","","","","","","","","","","","","","","","","","","","","","","5.852","","13.671","","7.634","","","","7.634","","1.932","","1.925","","","","","","0.000","","31.014","a10fe4a6fae032448418b15e47c2ee5878cc0f4a-0-4a3c3f62d2a2794789dacd59cab1d2e56021d906","a10fe4a6fae032448418b15e47c2ee5878cc0f4a","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","a10fe4a6fae032448418b15e47c2ee5878cc0f4a-0-01f3dd8337289351729d351f71b8e88a4d1f897d"
"1160429BB","","","","","","","","","","","","","","","","","","","","","","","","","","","1.544","","4.9","","11.777","","","","11.777","","4.391","","0.798","","0.399","","0.406","","0.000","","24.215","a10fe4a6fae032448418b15e47c2ee5878cc0f4a-0-013fdd63741b959ab1ad3ac0eb10fd74e7aae8a8","a10fe4a6fae032448418b15e47c2ee5878cc0f4a","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","a10fe4a6fae032448418b15e47c2ee5878cc0f4a-0-aa6b01168b0186f190e16746930c7db0d474dd34"
"0207581F","","","","","","","","","","","","","","","","","","","","","","","","0","82.797","0","64.806","0","32.778","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","180.381","a6c04085369658f15474f3c1a6a8dcd27adbdf87-0-d5d5c99736a33aeca04df126cacaabdc19d9160e","a6c04085369658f15474f3c1a6a8dcd27adbdf87","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","a6c04085369658f15474f3c1a6a8dcd27adbdf87-0-5d176f353053978ea4384d5c093f8d2c78400336"
"0207581F","","","","","","","","","","","","","","","","","","","","","","","","0","6.799","0","0.693","0","0.036","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","7.528","a6c04085369658f15474f3c1a6a8dcd27adbdf87-0-7744c24f26b3870400a38d48c209eff161364b32","a6c04085369658f15474f3c1a6a8dcd27adbdf87","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","a6c04085369658f15474f3c1a6a8dcd27adbdf87-0-a432c7a453d1ffc0041f7af05dcde889c762ce39"
"0305202F","","","","","","","","","","","","","","","","","","","","","","","","0","0.000","0","0.000","0","0.000","0","23.6","0","0.000","0","23.6","0","18.7","0","11.3","0","12.1","0","8.6","0","0.000","0","74.3","aeb09adb59b77ba52640e0b35411484f025af1fd-0-5b5c8d509550869521a7cbe70e21810d41044837","aeb09adb59b77ba52640e0b35411484f025af1fd","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","aeb09adb59b77ba52640e0b35411484f025af1fd-0-f882e871d267a8ac2c645b1f43e50ee82168bb8e"
"0401218F","","","","","","","","","","","","","","","","","","","","","","","","0","22.753","2","19.887","0","6.161","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","2","48.801","b32444cd918b9b031e8603a60192752f78862d75-0-a427e786dae26a045142b790710708dba14d6200","b32444cd918b9b031e8603a60192752f78862d75","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","b32444cd918b9b031e8603a60192752f78862d75-0-af9b0b09ee0ee0e80837ed3f7464c1017516332d"
"0401132F","","","","","","","","","","","","","","","","","","","","","","","","0","87.59","0","20.247","0","6.7","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","114.537","b327130cfc79546df0dba3a09801fedad12be124-0-794d82b95de83347ed48b8db62af8d407fc8ac72","b327130cfc79546df0dba3a09801fedad12be124","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","b327130cfc79546df0dba3a09801fedad12be124-0-c5cdf928f240f8bfe6bd420dd937880ec33a0077"
"0305206F","","","","","","","","","","","","","","","","","","","","","","","","0","0.000","0","0.000","0","16.047","0","16.359","0","0.000","0","16.359","0","13.04","0","6.458","0","0.000","0","0.000","0","0.000","0","51.904","bd18b0371a78c52c2adfe6a945abcf473f7ada72-0-c5ff1df222246711edb9ee54956ca2d519ff5d6a","bd18b0371a78c52c2adfe6a945abcf473f7ada72","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","bd18b0371a78c52c2adfe6a945abcf473f7ada72-0-716edc96183f864721dac3ec587c51b6cad95eea"
"0401314F","","","","","","","","","","","","","","","","","","","","","","","","0","0.000","0","0.000","0","39.5","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","39.5","c0cb36b88c9335501521de210df42229b7f6eefd-0-980ed1bbdf2de6a19c53f7c09243057ac6cb193f","c0cb36b88c9335501521de210df42229b7f6eefd","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","c0cb36b88c9335501521de210df42229b7f6eefd-0-c52d1896da7d387d35305a9ca8a347da44b62248"
"0401219F","","","","","","","","","","","","","","","","","","","","","","","","0","28.7","0","41.456","2","30.868","0","20.222","0","0.000","0","20.222","0","4.58","0","3.054","0","0.000","0","0.000","0","0.000","2","128.88","d2b1ad870a17e6a993dfc67eaaae1184bcbbdc9d-0-5fd9b1fe1df1d02683c466969203b7e913c50366","d2b1ad870a17e6a993dfc67eaaae1184bcbbdc9d","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","d2b1ad870a17e6a993dfc67eaaae1184bcbbdc9d-0-f44466b99ae71d938f7b30e9457e854d75cd0588"
"0401219F","","","","","","","","","","","","","","","","","","","","","","","","0","0.000","0","0.000","0","0.000","1","1.9","0","0.000","1","1.9","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","1","1.9","d2b1ad870a17e6a993dfc67eaaae1184bcbbdc9d-0-eeddeb4d21f9509480d5121f8b80a3c2fcdac917","d2b1ad870a17e6a993dfc67eaaae1184bcbbdc9d","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","d2b1ad870a17e6a993dfc67eaaae1184bcbbdc9d-0-f0c21d947ab18ae93d3490cf23b6c8383802b97d"
"0302015F","","","","","","","","","","","","","","","","","","","","","","","","0","0.000","0","0.000","0","1","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","1","db18bd00825789823c33bc7ec22afd3752dfccb6-0-17188b20c81b7047508931c8cff237a9c8e01575","db18bd00825789823c33bc7ec22afd3752dfccb6","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","db18bd00825789823c33bc7ec22afd3752dfccb6-0-04df519189db99c55962c3681718b62ed26d6028"
"0302015F","","","","","","","","","","","","","","","","","","","","","","","","0","0.000","1","7.17","0","4.277","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","1","11.447","db18bd00825789823c33bc7ec22afd3752dfccb6-0-937df4fd57f63248eb44d9ee225c69b59406ef3e","db18bd00825789823c33bc7ec22afd3752dfccb6","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","db18bd00825789823c33bc7ec22afd3752dfccb6-0-15ab9507b7c6cb85a0e4672152705fe109c96e4e"
"0302015F","","","","","","","","","","","","","","","","","","","","","","","","0","8.918","0","4.842","0","0.4","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","14.16","db18bd00825789823c33bc7ec22afd3752dfccb6-0-e34f52800769e3c85289f0e292a59037716dacaa","db18bd00825789823c33bc7ec22afd3752dfccb6","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","db18bd00825789823c33bc7ec22afd3752dfccb6-0-15c8e63eb75df34b42971e5cd68a354635064bd9"
"0401119F","","","","","","","","","","","","","","","","","","","","","","","","0","0.000","0","35.601","0","12.941","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","48.542","f470f9c50df2b28d2aa6cfc64cab69bc99a8fdee-0-90f3f2acef044d8f1604b1a4d2b5035da2345445","f470f9c50df2b28d2aa6cfc64cab69bc99a8fdee","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","f470f9c50df2b28d2aa6cfc64cab69bc99a8fdee-0-c0bc2c3500bbb9d1c2433aa08dc8cd2e3b1cf4dd"
"0401134F","","","","","","","","","","","","","","","","","","","","","","","","0","17.912","0","2.93","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","20.842","f608d47e7fc02be2d5e71c386e20ebeff98b3f96-0-0ca590d8a4b839e76b9537f2aaac192c0e14d6e0","f608d47e7fc02be2d5e71c386e20ebeff98b3f96","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","f608d47e7fc02be2d5e71c386e20ebeff98b3f96-0-c556a3d37ef11c7e685c42df82ed7d7d8e309f65"
