"Name_val","Recurring_CostElementList_CostElement","Recurring_CategorySubtotal_TotalCost_AllPriorYears_val","Recurring_CategorySubtotal_TotalCost_PriorYear_val","Recurring_CategorySubtotal_TotalCost_BudgetYearOneBase_val","Recurring_CategorySubtotal_TotalCost_BudgetYearOneOCO_val","Recurring_CategorySubtotal_TotalCost_BudgetYearOne_val","Recurring_CategorySubtotal_TotalCost_CurrentYear_val","Recurring_CategorySubtotal_TotalCost_Total_val","Recurring_CategorySubtotal_TotalCost_BudgetYearTwo_val","Recurring_CategorySubtotal_TotalCost_BudgetYearThree_val","Recurring_CategorySubtotal_TotalCost_BudgetYearFour_val","Recurring_CategorySubtotal_TotalCost_BudgetYearFive_val","Recurring_CategorySubtotal_TotalCost_Continuing_val","Recurring_CategorySubtotal_TotalCost_ToComplete_val","CategorySubtotal_TotalCost_AllPriorYears_val","CategorySubtotal_TotalCost_PriorYear_val","CategorySubtotal_TotalCost_BudgetYearOneBase_val","CategorySubtotal_TotalCost_BudgetYearOneOCO_val","CategorySubtotal_TotalCost_BudgetYearOne_val","CategorySubtotal_TotalCost_CurrentYear_val","CategorySubtotal_TotalCost_ToComplete_val","CategorySubtotal_TotalCost_Total_val","CategorySubtotal_TotalCost_BudgetYearTwo_val","CategorySubtotal_TotalCost_BudgetYearThree_val","CategorySubtotal_TotalCost_BudgetYearFour_val","CategorySubtotal_TotalCost_BudgetYearFive_val","CategorySubtotal_TotalCost_Continuing_val","NonRecurring_CostElementList_CostElement","NonRecurring_CategorySubtotal_TotalCost_CurrentYear_val","NonRecurring_CategorySubtotal_TotalCost_BudgetYearOneBase_val","NonRecurring_CategorySubtotal_TotalCost_BudgetYearOne_val","NonRecurring_CategorySubtotal_TotalCost_PriorYear_val","NonRecurring_CategorySubtotal_TotalCost_AllPriorYears_val","NonRecurring_CategorySubtotal_TotalCost_BudgetYearOneOCO_val","NonRecurring_CategorySubtotal_TotalCost_ToComplete_val","NonRecurring_CategorySubtotal_TotalCost_Total_val","NonRecurring_CategorySubtotal_TotalCost_Continuing_val","NonRecurring_CategorySubtotal_TotalCost_BudgetYearTwo_val","NonRecurring_CategorySubtotal_TotalCost_BudgetYearThree_val","NonRecurring_CategorySubtotal_TotalCost_BudgetYearFour_val","NonRecurring_CategorySubtotal_TotalCost_BudgetYearFive_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"(SE010) EAF Lighting Equipment","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-0f3b5b23d44d4ecc35d109c2c574b63a84c12160-2-cf813721b3c43cbbc1b14700733acec30cde0292","0","1.79","2.456","0","2.456","2.496","","","","","","","","0","1.79","2.456","0","2.456","2.496","","","","","","","","","","","","","","","","","","","","","","0f3b5b23d44d4ecc35d109c2c574b63a84c12160-2-3790c7d5b4cc37dac9eaa1897e99a096213d1216","0f3b5b23d44d4ecc35d109c2c574b63a84c12160","root.record.ItemExhibitList.P5Item","0f3b5b23d44d4ecc35d109c2c574b63a84c12160-0-058d3a6802918c055d9db6d074907243b20207ae"
"Acceptance Testing - Lighting","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-0f3b5b23d44d4ecc35d109c2c574b63a84c12160-3-2ec63d2d9f4508e68bf4e831f497fc6580566c12","0","0.39","0.02","0","0.02","0.892","","","","","","","","0","0.39","0.02","0","0.02","0.892","","","","","","","","","","","","","","","","","","","","","","0f3b5b23d44d4ecc35d109c2c574b63a84c12160-3-a99758b66e22829ec25086682d56b818c322be75","0f3b5b23d44d4ecc35d109c2c574b63a84c12160","root.record.ItemExhibitList.P5Item","0f3b5b23d44d4ecc35d109c2c574b63a84c12160-0-058d3a6802918c055d9db6d074907243b20207ae"
"(SE0210) EAF Arresting Gear","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-0f3b5b23d44d4ecc35d109c2c574b63a84c12160-4-140758d4123e0ae608ddb668dba9c2ab88eafcea","0","0.412","0.249","0","0.249","0.263","","","","","","","","0","0.412","0.249","0","0.249","0.263","","","","","","","","","","","","","","","","","","","","","","0f3b5b23d44d4ecc35d109c2c574b63a84c12160-4-5b663c83980766ba883757497bdd239c1ffb1fcd","0f3b5b23d44d4ecc35d109c2c574b63a84c12160","root.record.ItemExhibitList.P5Item","0f3b5b23d44d4ecc35d109c2c574b63a84c12160-0-058d3a6802918c055d9db6d074907243b20207ae"
"Acceptance Testing - Arresting Gear","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-0f3b5b23d44d4ecc35d109c2c574b63a84c12160-5-89e2b3ca0699d4fafff539b94230ab40083f3932","0","0.314","0.029","0","0.029","0.021","","","","","","","","0","0.314","0.029","0","0.029","0.021","","","","","","","","","","","","","","","","","","","","","","0f3b5b23d44d4ecc35d109c2c574b63a84c12160-5-86106fdb2cbbbb00d1d1ca7e89450897f0bcf599","0f3b5b23d44d4ecc35d109c2c574b63a84c12160","root.record.ItemExhibitList.P5Item","0f3b5b23d44d4ecc35d109c2c574b63a84c12160-0-058d3a6802918c055d9db6d074907243b20207ae"
"HARDWARE - Ordnance Assembly","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-0f3b5b23d44d4ecc35d109c2c574b63a84c12160-0-4ea07710831f995cb95984b59b66e0116b53aa86","0","0.792","0","0","0","1.584","","","","","","","","0","0.792","0","0","0","1.584","","","","","","","","","","","","","","","","","","","","","","0f3b5b23d44d4ecc35d109c2c574b63a84c12160-0-fa54a80e07f25560c4cecfa745bfef2594d72244","0f3b5b23d44d4ecc35d109c2c574b63a84c12160","root.record.ItemExhibitList.P5Item","0f3b5b23d44d4ecc35d109c2c574b63a84c12160-1-3b3c65df410c7ec0b9c1edbbbf755147d0563ebb"
"HARDWARE - Ordnance Transport","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-0f3b5b23d44d4ecc35d109c2c574b63a84c12160-1-cf08d6fde70b8e53fd5888fd90def20e40a77436","0","7.163","9.418","0","9.418","6.874","","","","","","","","0","7.163","9.418","0","9.418","6.874","","","","","","","","","","","","","","","","","","","","","","0f3b5b23d44d4ecc35d109c2c574b63a84c12160-1-4d62a90d642824ae1a07fb42c07443e6943a9391","0f3b5b23d44d4ecc35d109c2c574b63a84c12160","root.record.ItemExhibitList.P5Item","0f3b5b23d44d4ecc35d109c2c574b63a84c12160-1-3b3c65df410c7ec0b9c1edbbbf755147d0563ebb"
"HARDWARE - Ordnance Loading","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-0f3b5b23d44d4ecc35d109c2c574b63a84c12160-2-8fc7d765d0677c522d7bb45e70009331c1458c19","0","0","0","0","0","1.294","","","","","","","","0","0","0","0","0","1.294","","","","","","","","","","","","","","","","","","","","","","0f3b5b23d44d4ecc35d109c2c574b63a84c12160-2-24486d51c361c230e8514c1a904d20d276215872","0f3b5b23d44d4ecc35d109c2c574b63a84c12160","root.record.ItemExhibitList.P5Item","0f3b5b23d44d4ecc35d109c2c574b63a84c12160-1-3b3c65df410c7ec0b9c1edbbbf755147d0563ebb"
"SH920 NON-RECURRING","","","","","","","","","","","","","","","0","0","0","0","0","0.394","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList-0f3b5b23d44d4ecc35d109c2c574b63a84c12160-3-c7c3f4f5a40522f6324558b1c1f3051ac5fa77a9","0.394","0","0","0","0","0","","","","","","","","0f3b5b23d44d4ecc35d109c2c574b63a84c12160-3-366591034ecc0f4ffa102c2773518c4867a85140","0f3b5b23d44d4ecc35d109c2c574b63a84c12160","root.record.ItemExhibitList.P5Item","0f3b5b23d44d4ecc35d109c2c574b63a84c12160-1-3b3c65df410c7ec0b9c1edbbbf755147d0563ebb"
"SH010 ECP","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-0f3b5b23d44d4ecc35d109c2c574b63a84c12160-4-40178a416b894b61c159b1731f7819c0e1f4ee24","0","1.768","0.224","0","0.224","0.116","","","","","","","","0","1.768","0.224","0","0.224","0.116","","","","","","","","","","","","","","","","","","","","","","0f3b5b23d44d4ecc35d109c2c574b63a84c12160-4-bd58e626edd44b026edb743a43bbb25f61eee751","0f3b5b23d44d4ecc35d109c2c574b63a84c12160","root.record.ItemExhibitList.P5Item","0f3b5b23d44d4ecc35d109c2c574b63a84c12160-1-3b3c65df410c7ec0b9c1edbbbf755147d0563ebb"
"SH860 Acceptance Test & Eval","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-0f3b5b23d44d4ecc35d109c2c574b63a84c12160-5-0ad072f23e2fe7b3119b7c876d8c67372cc61dc6","0","0.485","0.499","0","0.499","0.351","","","","","","","","0","0.485","0.499","0","0.499","0.351","","","","","","","","","","","","","","","","","","","","","","0f3b5b23d44d4ecc35d109c2c574b63a84c12160-5-16e181feff00b8fc82d8eeae4425b64b84d21713","0f3b5b23d44d4ecc35d109c2c574b63a84c12160","root.record.ItemExhibitList.P5Item","0f3b5b23d44d4ecc35d109c2c574b63a84c12160-1-3b3c65df410c7ec0b9c1edbbbf755147d0563ebb"
"SJ040 - Service Change Kits","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-0f3b5b23d44d4ecc35d109c2c574b63a84c12160-0-4506432b8846a069fbc1bcc8a9cd66245c8963a1","0","0.957","16.675","0","16.675","9.292","","","","","","","","0","0.957","16.675","0","16.675","9.292","","","","","","","","","","","","","","","","","","","","","","0f3b5b23d44d4ecc35d109c2c574b63a84c12160-0-01723b7aa77bebf4ff86adaeeeb0e867d576ffad","0f3b5b23d44d4ecc35d109c2c574b63a84c12160","root.record.ItemExhibitList.P5Item","0f3b5b23d44d4ecc35d109c2c574b63a84c12160-2-b6f685a076bde1b6018d658770ecc4dce220d375"
"- SJ305 - Non-Recurring Engineering","","","","","","","","","","","","","","","0","2.509","18.227","0","18.227","13.982","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList-0f3b5b23d44d4ecc35d109c2c574b63a84c12160-1-20fd5a1774d56e21daf694eafa0981c9677f3c7b","13.982","18.227","18.227","2.509","0","0","","","","","","","","0f3b5b23d44d4ecc35d109c2c574b63a84c12160-1-f5fa699f1b45dbf03100718e3ca4dc6f3e3319eb","0f3b5b23d44d4ecc35d109c2c574b63a84c12160","root.record.ItemExhibitList.P5Item","0f3b5b23d44d4ecc35d109c2c574b63a84c12160-2-b6f685a076bde1b6018d658770ecc4dce220d375"
"","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-12c4d9b7a502864db4355d490524eca3f7dbbd27-0-938b40c98459ad115d1caf2781dc760f49ca2864","1873.665","17.631","23.828","","23.828","17.894","","","","","","","","1873.665","17.631","23.828","","23.828","17.894","","","","","","","","","","","","","","","","","","","","","","12c4d9b7a502864db4355d490524eca3f7dbbd27-0-6b399a4e52fbcd9f5a14ea84a2ecf9489f538ec4","12c4d9b7a502864db4355d490524eca3f7dbbd27","root.record.ItemExhibitList.P5Item","12c4d9b7a502864db4355d490524eca3f7dbbd27-0-fde38af3812a1fba7c86c43574f380264fc9637a"
"HA29 Rocket, 66MM HE M72A7 W/ GRAZE","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-13358a8af49bf2193d8c1fcbff91f4af8f182c5e-0-43895e22259a0205db091053c992f84a2f3c3cfa","69.676","5.888","","","","","","","","","","","","69.676","5.888","","","","","","","","","","","","","","","","","","","","","","","","","","13358a8af49bf2193d8c1fcbff91f4af8f182c5e-0-9a0bb56672a55661352bfe0df02f415785988714","13358a8af49bf2193d8c1fcbff91f4af8f182c5e","root.record.ItemExhibitList.P5Item","13358a8af49bf2193d8c1fcbff91f4af8f182c5e-0-bf990739bd1e411bfd98874db5969e9e56a7001a"
"HX07 ROCKET, 83MM HEAA PRACTICE","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-13358a8af49bf2193d8c1fcbff91f4af8f182c5e-1-e2bd918dcfb2ae770c619aefcfb271d01173936a","28.447","18.422","14.186","0.469","14.655","18.96","","","","","","","","28.447","18.422","14.186","0.469","14.655","18.96","","","","","","","","","","","","","","","","","","","","","","13358a8af49bf2193d8c1fcbff91f4af8f182c5e-1-f874642120dc5d1c1759ad4c81d6a1f9bbf65ad5","13358a8af49bf2193d8c1fcbff91f4af8f182c5e","root.record.ItemExhibitList.P5Item","13358a8af49bf2193d8c1fcbff91f4af8f182c5e-0-bf990739bd1e411bfd98874db5969e9e56a7001a"
"Cumulative PY Funding","","","","","","","","","","","","","","","12.389","","","","","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList-13358a8af49bf2193d8c1fcbff91f4af8f182c5e-2-b93b375060929b87ad06e6b15729ed52991f1a92","","","","","12.389","","","","","","","","","13358a8af49bf2193d8c1fcbff91f4af8f182c5e-2-5accaa1b6d7cc8588a99deb4fa40dbfb0f83b17d","13358a8af49bf2193d8c1fcbff91f4af8f182c5e","root.record.ItemExhibitList.P5Item","13358a8af49bf2193d8c1fcbff91f4af8f182c5e-0-bf990739bd1e411bfd98874db5969e9e56a7001a"
"Wide Area Surveillance","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-1480dd01679979cbefb064943c42cb87f8750350-0-c91ad78d3db405e0d29c9e6610956a78c116abe3","","","5.443","","5.443","","5.443","","","","","","0","","","6.943","","6.943","","0","6.943","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList-1480dd01679979cbefb064943c42cb87f8750350-0-9c78291d828cc8f48c0248370a081f76b3465adf","","1.5","1.5","","","","0","1.5","","","","","","1480dd01679979cbefb064943c42cb87f8750350-0-f8fce470cc0336db01d9af715873a3b419c47a46","1480dd01679979cbefb064943c42cb87f8750350","root.record.ItemExhibitList.P5Item","1480dd01679979cbefb064943c42cb87f8750350-0-206dfed52cc72b1eaeba712efb19162ced1613dc"
"ECP / ECO","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-150b4f25b0de5e8ba90055e48c7c81e6966697b9-0-8292972ea8bb82ed79ff0b5a4715bfbe6d889cab","0","0","2.444","0","2.444","0","","","","","","","","0","0","2.444","0","2.444","0","","","","","","","","","","","","","","","","","","","","","","150b4f25b0de5e8ba90055e48c7c81e6966697b9-0-93deb9fecde6432a03c92c53eda44fe2c3f3ed19","150b4f25b0de5e8ba90055e48c7c81e6966697b9","root.record.ItemExhibitList.P5Item","150b4f25b0de5e8ba90055e48c7c81e6966697b9-0-c0d092b7711c85fe73bbd498cc3607d01acaa8be"
"Fleet ATC - Hardware","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-150b4f25b0de5e8ba90055e48c7c81e6966697b9-0-0daa1190c84d8408d51fbf3d461e71e7c6609259","0","0","5.406","0","5.406","0","","","","","","","","0","0","5.406","0","5.406","0","","","","","","","","","","","","","","","","","","","","","","150b4f25b0de5e8ba90055e48c7c81e6966697b9-0-28611b214a7688b9f79eb58504a1bd94b22bed45","150b4f25b0de5e8ba90055e48c7c81e6966697b9","root.record.ItemExhibitList.P5Item","150b4f25b0de5e8ba90055e48c7c81e6966697b9-1-0fb4a26f52798da853706dc6c7553ce9f10596f9"
"Landing Systems","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-150b4f25b0de5e8ba90055e48c7c81e6966697b9-0-e552994b2d2409b2c84f60293758c97c7bd4c5d3","0","0","1.794","0","1.794","0","","","","","","","","0","0","1.794","0","1.794","0","","","","","","","","","","","","","","","","","","","","","","150b4f25b0de5e8ba90055e48c7c81e6966697b9-0-97a864808c2c99ff7a7ab07201a8c2316b159c6a","150b4f25b0de5e8ba90055e48c7c81e6966697b9","root.record.ItemExhibitList.P5Item","150b4f25b0de5e8ba90055e48c7c81e6966697b9-2-3c3ddc9ebbacab1d316bab01cb6b043e786d792f"
"Landing Systems","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-151f3e8c9343ab21d80e1e779935f80045b5a18e-0-303f18f63600d9f73b73490fabf18ee1a58d62ec","33.028","1.794","0","0","0","1.742","","","","","","","","33.028","1.794","0","0","0","1.742","","","","","","","","","","","","","","","","","","","","","","151f3e8c9343ab21d80e1e779935f80045b5a18e-0-92005f8808b64c6c96acee3d00e6bf2bd592b7c1","151f3e8c9343ab21d80e1e779935f80045b5a18e","root.record.ItemExhibitList.P5Item","151f3e8c9343ab21d80e1e779935f80045b5a18e-0-57f3cf619bfd09e78b7724987c03e9d8042852bd"
"SW003: LANDING CRAFT UTILITY (LCU) NAVIGATION UPGRADE","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-156aa9ca7262cd035757fec582470939a1dd8c4f-0-13dfb75c93fc3e556555d0a5faa4277a18219662","1.479","","","","","","","","","","","","","1.479","","","","","","","","","","","","","","","","","","","","","","","","","","","156aa9ca7262cd035757fec582470939a1dd8c4f-0-80a6d7af91b111b41d06a9b850ae055dddf92e98","156aa9ca7262cd035757fec582470939a1dd8c4f","root.record.ItemExhibitList.P5Item","156aa9ca7262cd035757fec582470939a1dd8c4f-0-973c86106811538342161b150c462033d99ee61f"
"SW004: COASTAL BATTLEFIELD RECONNAISSANCE AND ANALYSIS (COBRA)","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-156aa9ca7262cd035757fec582470939a1dd8c4f-1-122643e51f62d8ed1c31d4396f74d082c77d0124","37.316","","8.875","","8.875","","","","","","","","","37.316","","8.875","","8.875","","","","","","","","","","","","","","","","","","","","","","","156aa9ca7262cd035757fec582470939a1dd8c4f-1-2976b32293a6bbadc00e6f0d9c9ac0d346ebe0bc","156aa9ca7262cd035757fec582470939a1dd8c4f","root.record.ItemExhibitList.P5Item","156aa9ca7262cd035757fec582470939a1dd8c4f-0-973c86106811538342161b150c462033d99ee61f"
"SW005: AMPHIBIOUS ASSAULT VEHICLE NAVIGATION UPGRADE","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-156aa9ca7262cd035757fec582470939a1dd8c4f-2-a2e01f4c586394dd4fd5ab41b6292dfaa5c50797","6.359","","","","","","","","","","","","","6.359","","","","","","","","","","","","","","","","","","","","","","","","","","","156aa9ca7262cd035757fec582470939a1dd8c4f-2-67d2633b164d9c6b6bb345a7f59435411bff2b2a","156aa9ca7262cd035757fec582470939a1dd8c4f","root.record.ItemExhibitList.P5Item","156aa9ca7262cd035757fec582470939a1dd8c4f-0-973c86106811538342161b150c462033d99ee61f"
"SW061: LANDING CRAFT AIR CUSHION (LCAC) AUTOPILOT UPGRADE","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-156aa9ca7262cd035757fec582470939a1dd8c4f-3-d8bab6c7dbb8ee672a9a3cf9e40cc230e53162eb","2.286","","","","","","","","","","","","","2.286","","","","","","","","","","","","","","","","","","","","","","","","","","","156aa9ca7262cd035757fec582470939a1dd8c4f-3-398fb81a7e54350975a568dc8a4a0ea2f4f6dd9d","156aa9ca7262cd035757fec582470939a1dd8c4f","root.record.ItemExhibitList.P5Item","156aa9ca7262cd035757fec582470939a1dd8c4f-0-973c86106811538342161b150c462033d99ee61f"
"Systems Replacement and Modernization","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-161bcc6da211fe3a723c3cfa50a8f758a56734f9-0-ff7efee92d7f28a34d7ea8f72d3fefe8a83ecb56","141.704","9.287","9.772","","9.772","9.554","","","","","","","","141.704","9.287","9.772","","9.772","9.554","","","","","","","","","","","","","","","","","","","","","","161bcc6da211fe3a723c3cfa50a8f758a56734f9-0-84af9f0c5cfc95157f7caaa16b252a02db1f0467","161bcc6da211fe3a723c3cfa50a8f758a56734f9","root.record.ItemExhibitList.P5Item","161bcc6da211fe3a723c3cfa50a8f758a56734f9-0-cb20a162b32407d3474c0a43d9cff717deb1bbe8"
"Ocean Systems","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-161bcc6da211fe3a723c3cfa50a8f758a56734f9-1-28ba86b03276bc8279d6d8db7aa5bfd5a4028be9","139.227","16.227","13.802","","13.802","15.554","","","","","","","","139.227","16.227","13.802","","13.802","15.554","","","","","","","","","","","","","","","","","","","","","","161bcc6da211fe3a723c3cfa50a8f758a56734f9-1-56a8d67a3f0172acf8de04760e2a51d9413baa01","161bcc6da211fe3a723c3cfa50a8f758a56734f9","root.record.ItemExhibitList.P5Item","161bcc6da211fe3a723c3cfa50a8f758a56734f9-0-cb20a162b32407d3474c0a43d9cff717deb1bbe8"
"Large Area Tracking Range","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-161bcc6da211fe3a723c3cfa50a8f758a56734f9-2-07ffae7828d1786438d2b4b2fe407ff7a386bdd7","","","0.245","","0.245","2.943","","","","","","","","","","0.245","","0.245","2.943","","","","","","","","","","","","","","","","","","","","","","161bcc6da211fe3a723c3cfa50a8f758a56734f9-2-ad4d462b80899d7efb82f679dd879f5ee472a6c8","161bcc6da211fe3a723c3cfa50a8f758a56734f9","root.record.ItemExhibitList.P5Item","161bcc6da211fe3a723c3cfa50a8f758a56734f9-0-cb20a162b32407d3474c0a43d9cff717deb1bbe8"
"Tactical Combat Training System","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-161bcc6da211fe3a723c3cfa50a8f758a56734f9-3-245373a847cc0ac24e2bf3e6416c0f277bd170b9","0.906","","","","","","","","","","","","","0.906","","","","","","","","","","","","","","","","","","","","","","","","","","","161bcc6da211fe3a723c3cfa50a8f758a56734f9-3-17b0ca607565922f83c76c2d5f5e989fbec0d5b5","161bcc6da211fe3a723c3cfa50a8f758a56734f9","root.record.ItemExhibitList.P5Item","161bcc6da211fe3a723c3cfa50a8f758a56734f9-0-cb20a162b32407d3474c0a43d9cff717deb1bbe8"
"Electronic Warfare Training Equipment","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-161bcc6da211fe3a723c3cfa50a8f758a56734f9-4-38fc555889e263fbbe4a435e94f59b68cda80bee","62.667","6.596","8.371","","8.371","9.598","","","","","","","","62.667","6.596","8.371","","8.371","9.598","","","","","","","","","","","","","","","","","","","","","","161bcc6da211fe3a723c3cfa50a8f758a56734f9-4-a7b0bf268edb964bd740a4f3d297e4c78e23a855","161bcc6da211fe3a723c3cfa50a8f758a56734f9","root.record.ItemExhibitList.P5Item","161bcc6da211fe3a723c3cfa50a8f758a56734f9-0-cb20a162b32407d3474c0a43d9cff717deb1bbe8"
"Moving Land Targets (PMA208)","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-161bcc6da211fe3a723c3cfa50a8f758a56734f9-5-44f9921e49e82b7d01baf5e906737ce5371a46f9","12.259","1.305","1.24","","1.24","1.318","","","","","","","","12.259","1.305","1.24","","1.24","1.318","","","","","","","","","","","","","","","","","","","","","","161bcc6da211fe3a723c3cfa50a8f758a56734f9-5-17e8f3d6f6740458adf5754d12b1bac1e5e95d2f","161bcc6da211fe3a723c3cfa50a8f758a56734f9","root.record.ItemExhibitList.P5Item","161bcc6da211fe3a723c3cfa50a8f758a56734f9-0-cb20a162b32407d3474c0a43d9cff717deb1bbe8"
"Live-Virtual-Constructive","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-161bcc6da211fe3a723c3cfa50a8f758a56734f9-6-5496b2e25c682eb1fb4b9fdaa9d82a95e6b6fbb4","","","10.52","","10.52","","","","","","","","","","","10.52","","10.52","","","","","","","","","","","","","","","","","","","","","","","161bcc6da211fe3a723c3cfa50a8f758a56734f9-6-9675b5f36010f87035b687290af9592eff5891e8","161bcc6da211fe3a723c3cfa50a8f758a56734f9","root.record.ItemExhibitList.P5Item","161bcc6da211fe3a723c3cfa50a8f758a56734f9-0-cb20a162b32407d3474c0a43d9cff717deb1bbe8"
"Hardware End Item","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-1642a4f38774503b0b01f1ee3349d6e52b523873-0-e190e609fb2d70536b1fb9226269804fb7695fc6","","0","8.599","0","8.599","9.991","","","","","","","","","0","8.599","0","8.599","9.991","","","","","","","","","","","","","","","","","","","","","","1642a4f38774503b0b01f1ee3349d6e52b523873-0-408a45629353f16cedc0ecb96ab72fea1e5f25df","1642a4f38774503b0b01f1ee3349d6e52b523873","root.record.ItemExhibitList.P5Item","1642a4f38774503b0b01f1ee3349d6e52b523873-0-db44d8311c87f4537ef65cbdf613ce898e4b1596"
"(KY70) DSU-33D/B PROX SENSOR","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-1642a4f38774503b0b01f1ee3349d6e52b523873-0-dccd4d8d753ec88f183d11567f4902fc20bccddc","","13","13.363","0","13.363","17.896","","","","","","","","","13","13.363","0","13.363","17.896","","","","","","","","","","","","","","","","","","","","","","1642a4f38774503b0b01f1ee3349d6e52b523873-0-94688090d761ad9267aa33c66e1b58269669b6b1","1642a4f38774503b0b01f1ee3349d6e52b523873","root.record.ItemExhibitList.P5Item","1642a4f38774503b0b01f1ee3349d6e52b523873-1-3ea7070e9a2cebdf06f968f1725f413efa3d3a2d"
"Hardware End Item","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-1642a4f38774503b0b01f1ee3349d6e52b523873-0-dde1f410f4d27e3824e66a3d99936815c800cab4","","3.152","17.87","0","17.87","9.27","","","","","","","","","3.152","17.87","0","17.87","9.27","","","","","","","","","","","","","","","","","","","","","","1642a4f38774503b0b01f1ee3349d6e52b523873-0-4022f0643a64566a10fee9e7ba028db7b63debb9","1642a4f38774503b0b01f1ee3349d6e52b523873","root.record.ItemExhibitList.P5Item","1642a4f38774503b0b01f1ee3349d6e52b523873-2-2c9581f49bc45225f3daef3892f2ef14b113105f"
"","","","","","","","","","","","","","","","","","","","","150","","150","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList-192eca8bdea495206d3efa5cfeaca2d1d7413767-0-eb52e0c9ca2d0f011e5a5d5cbcac0be2f7f85198","150","","","","","","","150","","","","","","192eca8bdea495206d3efa5cfeaca2d1d7413767-0-ca46f06356406873651319c3c5b2acbe6c32fabd","192eca8bdea495206d3efa5cfeaca2d1d7413767","root.record.ItemExhibitList.P5Item","192eca8bdea495206d3efa5cfeaca2d1d7413767-0-39a0eda4fd922c4fb5b8a4750eecd08fbb3345bf"
