"Name_val","Name_@footnote","Cost_TotalCost_AllPriorYears_val","Cost_TotalCost_PriorYear_val","Cost_TotalCost_CurrentYear_val","Cost_TotalCost_BudgetYearOneBase_val","Cost_TotalCost_BudgetYearOne_val","Cost_TotalCost_BudgetYearOneOCO_val","Cost_TotalCost_ToComplete_val","Cost_TotalCost_Total_val","Cost_TotalCost_BudgetYearTwo_val","Cost_TotalCost_BudgetYearThree_val","Cost_TotalCost_BudgetYearFour_val","Cost_TotalCost_BudgetYearFive_val","Cost_TotalCost_Continuing_val","Cost_Quantity_AllPriorYears_val","Cost_Quantity_Total_val","Cost_Quantity_PriorYear_val","Cost_Quantity_CurrentYear_val","Cost_Quantity_BudgetYearOneBase_val","Cost_Quantity_BudgetYearOne_val","Cost_Quantity_BudgetYearTwo_val","Cost_Quantity_BudgetYearThree_val","Cost_Quantity_BudgetYearFour_val","Cost_Quantity_BudgetYearFive_val","Cost_Quantity_ToComplete_val","Cost_UnitCost_AllPriorYears_val","Cost_UnitCost_Total_val","Cost_UnitCost_PriorYear_val","Cost_UnitCost_CurrentYear_val","Cost_UnitCost_BudgetYearOneBase_val","Cost_UnitCost_BudgetYearOne_val","Cost_UnitCost_BudgetYearTwo_val","Cost_UnitCost_BudgetYearThree_val","Cost_UnitCost_BudgetYearFour_val","Cost_UnitCost_BudgetYearFive_val","Cost_UnitCost_ToComplete_val","Cost_BudgetYearOneBase_TotalCost_val","Cost_BudgetYearOneBase_UnitCost_val","Cost_BudgetYearOneBase_Quantity_val","Cost_BudgetYearOne_TotalCost_val","Cost_BudgetYearOne_UnitCost_val","Cost_BudgetYearOne_Quantity_val","Cost_AllPriorYears_TotalCost_val","Cost_AllPriorYears_UnitCost_val","Cost_AllPriorYears_Quantity_val","Cost_PriorYear_TotalCost_val","Cost_PriorYear_UnitCost_val","Cost_PriorYear_Quantity_val","Cost_CurrentYear_TotalCost_val","Cost_CurrentYear_UnitCost_val","Cost_CurrentYear_Quantity_val","Cost_BudgetYearOneOCO_TotalCost_val","Cost_BudgetYearOneOCO_UnitCost_val","Cost_BudgetYearOneOCO_Quantity_val","Cost_ToComplete_TotalCost_val","Cost_ToComplete_UnitCost_val","Cost_ToComplete_Quantity_val","Cost_Total_TotalCost_val","Cost_Total_UnitCost_val","Cost_Total_Quantity_val","Cost_BudgetYearTwo_TotalCost_val","Cost_BudgetYearTwo_UnitCost_val","Cost_BudgetYearTwo_Quantity_val","Cost_BudgetYearThree_TotalCost_val","Cost_BudgetYearThree_UnitCost_val","Cost_BudgetYearThree_Quantity_val","Cost_BudgetYearFour_TotalCost_val","Cost_BudgetYearFour_UnitCost_val","Cost_BudgetYearFour_Quantity_val","Cost_BudgetYearFive_TotalCost_val","Cost_BudgetYearFive_UnitCost_val","Cost_BudgetYearFive_Quantity_val","Cost_Continuing_val","Cost_Continuing_@footnote","AllPriorYearsDeliveries_val","ManufacturerList_Manufacturer","SubCostElementList_SubCostElement","Remarks_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"Production Engineering","","","0.176","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","06ad1fef6d8654fde1dfe4444bd06c21514eaab3-0-5ce02d02e23d660ec41b5bc1b371ef57e4bd10ee","06ad1fef6d8654fde1dfe4444bd06c21514eaab3","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","06ad1fef6d8654fde1dfe4444bd06c21514eaab3-0-1f555a73d1f30bca02b3e1ba8dcbb1e4ef96bb2e"
"Production Engineering","","3.065","","0.011","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","06ad1fef6d8654fde1dfe4444bd06c21514eaab3-0-a271a4e44a18569b02c07372ea12d610530e1be3","06ad1fef6d8654fde1dfe4444bd06c21514eaab3","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","06ad1fef6d8654fde1dfe4444bd06c21514eaab3-0-420a894f90670e9855cd3b1ef840197f4d5256b4"
"Quality Assurance","","","","0.004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","06ad1fef6d8654fde1dfe4444bd06c21514eaab3-0-71eac250096e2af4b4e8a2470eab1f239c94c1db","06ad1fef6d8654fde1dfe4444bd06c21514eaab3","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","06ad1fef6d8654fde1dfe4444bd06c21514eaab3-1-6c4e21c87213ea7733d289b094180669d164b60d"
"Production Engineering","","","","","0.313","0.313","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","06ad1fef6d8654fde1dfe4444bd06c21514eaab3-0-d7d502b67310faf6fe685cf180ba669f64612e61","06ad1fef6d8654fde1dfe4444bd06c21514eaab3","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","06ad1fef6d8654fde1dfe4444bd06c21514eaab3-0-35220778f43ac5d7deff9be4a7a2f657aa23a624"
"Production Engineering","","","","","0.339","0.339","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","06ad1fef6d8654fde1dfe4444bd06c21514eaab3-0-d8b7aa43d286b2fbe2e7082ced15003f88a9cade","06ad1fef6d8654fde1dfe4444bd06c21514eaab3","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","06ad1fef6d8654fde1dfe4444bd06c21514eaab3-0-fa1d16778cb89767ae31f7403ba192a1b6188464"
"Acceptance Test","","","","","0.03","0.03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","06ad1fef6d8654fde1dfe4444bd06c21514eaab3-0-13d44010b75e1360ce176ff97de55eea4ade6167","06ad1fef6d8654fde1dfe4444bd06c21514eaab3","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","06ad1fef6d8654fde1dfe4444bd06c21514eaab3-0-424e874bacef3da7d716e1f40398d0e6f7e67058"
"Production Engineering","","","","","0.058","0.058","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","06ad1fef6d8654fde1dfe4444bd06c21514eaab3-0-f335566ce614f47c9b279d6e4e67cd51e3533f67","06ad1fef6d8654fde1dfe4444bd06c21514eaab3","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","06ad1fef6d8654fde1dfe4444bd06c21514eaab3-1-74fac7bdce87ece57e6b691a5125ca1469ad6785"
"2.1) Other ILS","","49.883","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0768f43221782b7e463bf0c1de2bf2208b7a674b-0-5e984ae4ee6f221f345fe40d2fb3ceac6df47210","0768f43221782b7e463bf0c1de2bf2208b7a674b","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","0768f43221782b7e463bf0c1de2bf2208b7a674b-0-fd49adcb1df829224b93fba96f585c7e97817e24"
"2.2) Production Engineering Support","","118.301","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0768f43221782b7e463bf0c1de2bf2208b7a674b-1-96f2f50ccc05c0392642d6d35ea348378bf01f12","0768f43221782b7e463bf0c1de2bf2208b7a674b","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","0768f43221782b7e463bf0c1de2bf2208b7a674b-0-fd49adcb1df829224b93fba96f585c7e97817e24"
"2.3) Pub/Tech Equipment","","14.948","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0768f43221782b7e463bf0c1de2bf2208b7a674b-2-ebb04ed78139bc07e460b596f4e23517c755dddd","0768f43221782b7e463bf0c1de2bf2208b7a674b","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","0768f43221782b7e463bf0c1de2bf2208b7a674b-0-fd49adcb1df829224b93fba96f585c7e97817e24"
"2.4) Peculiar Training Equipment","","135.074","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0768f43221782b7e463bf0c1de2bf2208b7a674b-3-487dd4aed105f6cf4a506926e7ad3f99322507f3","0768f43221782b7e463bf0c1de2bf2208b7a674b","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","0768f43221782b7e463bf0c1de2bf2208b7a674b-0-fd49adcb1df829224b93fba96f585c7e97817e24"
"2.5) Airframe PGSE","","22.212","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0768f43221782b7e463bf0c1de2bf2208b7a674b-4-9c902dcdd9d61cf6d5ff62e2c4b6347b7a78624a","0768f43221782b7e463bf0c1de2bf2208b7a674b","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","0768f43221782b7e463bf0c1de2bf2208b7a674b-0-fd49adcb1df829224b93fba96f585c7e97817e24"
"Acceptance Test","","0.06","","0.06","0.06","0.06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","07dc99995f7ad9dc25cf3f0335d23daf034a0d38-0-9453fe458e25fefdf7cc4f82822b589e5c592622","07dc99995f7ad9dc25cf3f0335d23daf034a0d38","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","07dc99995f7ad9dc25cf3f0335d23daf034a0d38-0-780bd14552ca6129869812c845f5ae0f4be9785a"
"First Article Test","","0.132","","0.103","0.108","0.108","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","07dc99995f7ad9dc25cf3f0335d23daf034a0d38-1-d585bfb195862f0b0f296a90b5d9eba53bb56e68","07dc99995f7ad9dc25cf3f0335d23daf034a0d38","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","07dc99995f7ad9dc25cf3f0335d23daf034a0d38-0-780bd14552ca6129869812c845f5ae0f4be9785a"
"Production Verification Test","","","","0.25","0.253","0.253","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","07dc99995f7ad9dc25cf3f0335d23daf034a0d38-0-124d98329956abfb826580c85374aa0817f667e3","07dc99995f7ad9dc25cf3f0335d23daf034a0d38","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","07dc99995f7ad9dc25cf3f0335d23daf034a0d38-1-fdfd20b6d153489eee290482523c98e0bbdcfc71"
"Production Engineering","","1.147","1.656","1.672","1.865","1.865","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","07dc99995f7ad9dc25cf3f0335d23daf034a0d38-0-dd8fa747907f563567ee1a7f8f3af63c846c3d5d","07dc99995f7ad9dc25cf3f0335d23daf034a0d38","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","07dc99995f7ad9dc25cf3f0335d23daf034a0d38-2-49d3807da5c068032a0b94d713c44069c8af8fe8"
"Study & Analysis","","","0.235","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","07dc99995f7ad9dc25cf3f0335d23daf034a0d38-0-bcb93b64beb2f81b8a71663aae47b150eb44e641","07dc99995f7ad9dc25cf3f0335d23daf034a0d38","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","07dc99995f7ad9dc25cf3f0335d23daf034a0d38-3-4776556a53da24ac026deb4b0ea4e817dd01cccd"
"Acceptance Test","","","0.842","0.873","0.621","0.621","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","07dc99995f7ad9dc25cf3f0335d23daf034a0d38-0-0d5ae62a4ec451cd025372ac77dd4d78a18f2850","07dc99995f7ad9dc25cf3f0335d23daf034a0d38","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","07dc99995f7ad9dc25cf3f0335d23daf034a0d38-0-792dc719b7c99559403c8b13720e25abd48b8471"
"Safety","","","4.073","2.91","2.593","2.593","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","07dc99995f7ad9dc25cf3f0335d23daf034a0d38-0-b5d52d51710c0d6c28461ce79ebe78ce1c2c1e72","07dc99995f7ad9dc25cf3f0335d23daf034a0d38","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","07dc99995f7ad9dc25cf3f0335d23daf034a0d38-1-e59947883bcaeea2503b416530800ca49bc15a83"
"Reliability","","","","0.893","1.209","1.209","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","07dc99995f7ad9dc25cf3f0335d23daf034a0d38-1-c7c7c66570e28d6c71beac3addef13c0c92c8c38","07dc99995f7ad9dc25cf3f0335d23daf034a0d38","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","07dc99995f7ad9dc25cf3f0335d23daf034a0d38-1-e59947883bcaeea2503b416530800ca49bc15a83"
"Production Engineering","","","3.121","3.251","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","07dc99995f7ad9dc25cf3f0335d23daf034a0d38-0-04ef5067cc63b54fe71420b3c9c89e05f0079fde","07dc99995f7ad9dc25cf3f0335d23daf034a0d38","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","07dc99995f7ad9dc25cf3f0335d23daf034a0d38-2-dbe038b6a1dc24b5e1ca55175c017922558f8f6c"
"Quality Assurance","","","0.008","0.008","0.008","0.008","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","07dc99995f7ad9dc25cf3f0335d23daf034a0d38-0-27380ba0a7b9f1c7a1818c75bf105183cb350016","07dc99995f7ad9dc25cf3f0335d23daf034a0d38","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","07dc99995f7ad9dc25cf3f0335d23daf034a0d38-3-24158ce5fc96573039dac2e963fe1e6c75bf1eae"
"Recapitalization","","","","10.432","19.291","19.291","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","07dc99995f7ad9dc25cf3f0335d23daf034a0d38-0-4eab37b962bf1a2bd79fde6a8e1da4783226cdcc","07dc99995f7ad9dc25cf3f0335d23daf034a0d38","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","07dc99995f7ad9dc25cf3f0335d23daf034a0d38-4-5ff81677267b7e6d691bd3558e8cf0a55a4807cf"
"Acceptance Test","","","","","1.202","1.202","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","07dc99995f7ad9dc25cf3f0335d23daf034a0d38-0-94e112d90569d0e7e2304f7792227ff592ba69ef","07dc99995f7ad9dc25cf3f0335d23daf034a0d38","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","07dc99995f7ad9dc25cf3f0335d23daf034a0d38-0-ded68c78ffd7268005764d9c48f7d0d5da82410f"
"Reliability","","","2.62","0.601","1.142","1.142","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","07dc99995f7ad9dc25cf3f0335d23daf034a0d38-0-f92f47e6112696d25b85181a51312c22c57858a0","07dc99995f7ad9dc25cf3f0335d23daf034a0d38","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","07dc99995f7ad9dc25cf3f0335d23daf034a0d38-1-dc2d95dd5e7bcd9ffba9808b1cf0a9eaafcc6cfd"
"Safety","","","2.297","2.186","1.561","1.561","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","07dc99995f7ad9dc25cf3f0335d23daf034a0d38-1-262d86e9fb19259259e8ce42df8cd540b408b6ef","07dc99995f7ad9dc25cf3f0335d23daf034a0d38","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","07dc99995f7ad9dc25cf3f0335d23daf034a0d38-1-dc2d95dd5e7bcd9ffba9808b1cf0a9eaafcc6cfd"
"Production Engineering","","2591.626","2.363","2.847","1.276","1.276","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","07dc99995f7ad9dc25cf3f0335d23daf034a0d38-0-d243c8bb762eec2eb7e7a4e7d6984c16e4ef538d","07dc99995f7ad9dc25cf3f0335d23daf034a0d38","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","07dc99995f7ad9dc25cf3f0335d23daf034a0d38-2-3c910a66f7925155286ef4739ca6ee24e63b42c1"
"Quality Assurance","","","0.01","0.01","0.009","0.009","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","07dc99995f7ad9dc25cf3f0335d23daf034a0d38-0-bafebf1f17756aa069213a72993d876ac969aee7","07dc99995f7ad9dc25cf3f0335d23daf034a0d38","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","07dc99995f7ad9dc25cf3f0335d23daf034a0d38-3-30f5fc70c1183944294aee14f8c0214663ff90d6"
"Recapitalization","","","20.625","22.619","26.71","26.71","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","07dc99995f7ad9dc25cf3f0335d23daf034a0d38-0-81a02755f84ca68bbef714780da7589cbb5e1e30","07dc99995f7ad9dc25cf3f0335d23daf034a0d38","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","07dc99995f7ad9dc25cf3f0335d23daf034a0d38-4-13f826e2e90efe87be9521d36f71398006c16c3d"
"Acceptance Test","","","","","","0.234","0.234","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","07dc99995f7ad9dc25cf3f0335d23daf034a0d38-0-b0f1f0fc60f5548954868a320ef4a79782fac6e4","07dc99995f7ad9dc25cf3f0335d23daf034a0d38","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","07dc99995f7ad9dc25cf3f0335d23daf034a0d38-0-a9b25280bc164501ea7057b30737eb7fbe3a6b18"
"Production Engineering","","565.934","","","","0.63","0.63","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","07dc99995f7ad9dc25cf3f0335d23daf034a0d38-0-f9aecbe49c3573da3b229bd4bfba5af74b5e1c14","07dc99995f7ad9dc25cf3f0335d23daf034a0d38","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","07dc99995f7ad9dc25cf3f0335d23daf034a0d38-1-cada48ac32c803f233629e9c4c05dc6ec584b11a"
"Quality Assurance","","","","","","0.003","0.003","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","07dc99995f7ad9dc25cf3f0335d23daf034a0d38-0-32e511acc9b48553e8442560c1d630333b71e719","07dc99995f7ad9dc25cf3f0335d23daf034a0d38","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","07dc99995f7ad9dc25cf3f0335d23daf034a0d38-2-27792bd400470fa1ff779a917eeeb54563ba7fb0"
"Recapitalization","","","","","","8.132","8.132","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","07dc99995f7ad9dc25cf3f0335d23daf034a0d38-0-952d86a5570dd57f7c7b964d92ae4f7d56681133","07dc99995f7ad9dc25cf3f0335d23daf034a0d38","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","07dc99995f7ad9dc25cf3f0335d23daf034a0d38-3-89b13656167e7be4d0d0a7119b5df407adf6b506"
"Acceptance Test","","","","","0.256","0.256","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","07dc99995f7ad9dc25cf3f0335d23daf034a0d38-0-7648449b1c2a2864f19057085ba73f4c133634c1","07dc99995f7ad9dc25cf3f0335d23daf034a0d38","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","07dc99995f7ad9dc25cf3f0335d23daf034a0d38-0-607080e4ce24e900f900dbc73c8df33b2921db40"
"First Article Test","","","","0.156","0.188","0.188","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","07dc99995f7ad9dc25cf3f0335d23daf034a0d38-1-af406228651f3e9ced8ee75a4679c206887077d0","07dc99995f7ad9dc25cf3f0335d23daf034a0d38","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","07dc99995f7ad9dc25cf3f0335d23daf034a0d38-0-607080e4ce24e900f900dbc73c8df33b2921db40"
"Production Engineering","","","4.146","3.982","3.54","3.54","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","07dc99995f7ad9dc25cf3f0335d23daf034a0d38-0-70de8706baacd7413708efae32742f7643e8527c","07dc99995f7ad9dc25cf3f0335d23daf034a0d38","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","07dc99995f7ad9dc25cf3f0335d23daf034a0d38-1-2c65bd0e2a8212c6fcab5dfb4c5e86460e9aec79"
